question,answer,A,B,C,D
Do the red candy in the original Skilttles and the original Starburst in the red wrapper have the same flavor?,No,Yes,No,,
"The Second Red Scare, which dealt with negative communistic influence in the U.S., was spurred by  former Wisconsin senator Joseph McCarthy after which war?",WWII,The Gulf War,WWII,The Vietnam War,WWI
Which of the original Pac-Man ghosts is red?,Blinky,Blinky,Pinky,Clyde,Inky
Which one of the 4 original male power rangers was the Red Ranger?,Jason Lee Scott,Billy Cranston,Zach Taylor,Jason Lee Scott,Tommy Oliver
How many red coins did Mario have to collect in Super Mario 64 in order to gain a star?,8,100,8,50,10
Complete the title of this 1983 song by Prince:,Corvette,Impala,Malibu,Corvette,Camaro
Which of these is NOT true about these movies?,"In the 2008 film Red, starring Brian Cox, Red is the nickname of the main characters wife.","In the 2002 Tamil film Red, Red stands for Revolution, Education, Development.","In the 2010 film RED, starring Bruce Willis, Morgan Freeman and Helen Mirren, RED stands for Retired, Extremely Dangerous.","In the 1984 movie Reds, directed and produced by Warren Beatty, the Reds are members of the American Communist Party.","In the 2008 film Red, starring Brian Cox, Red is the nickname of the main characters wife."
"What big red dog, created in 1963 by Norman Birdwell, is owned by Emily Elizabeth Howard?",Clifford,Clifford,Abraham,Duke,Hastings
Which of these countries does NOT touch the Red Sea?,Iraq,Egypt,Sudan,Saudi Arabia,Iraq
"In hospitals, what does a code red usually signify?",fire,earthquake,bomb,mass infection,fire
Does hemoglobin make red blood cells red?,Yes,Yes,No,,
"The Cincinnati Reds were once called the Cincinnati Red Stockings. The Red Sox, with a name (Sox) thats a plural of sock, is from what U.S. city?",Boston,Boston,Atlanta,New York,Cleveland
"Are the Washington Redskins, an NFL team, closer to Washington state than they are to Washington D.C.?",No,Yes,No,,
Which of the planets in the solar system has a storm on it that scientists have dubbed the Big Red Spot?,Jupiter,Jupiter,Neptune,Uranus,Saturn
What Greek philosopher mentioned Atlantis for the first time?,Plato,None of these,Aristotle,Plato,Socrates
The possible existence of Atlantis was never discussed throughout classical antiquity.,False,True,False,,
ReichsfÃ¼hrer-SS Heinrich Himmler organized a German expedition to Tibet to search for Aryan Atlanteans.,True,True,False,,
"What Swedish scholar published the book Atland in several volumes, starting in 1679?",Olaus Rudbeck,Bernhard Helander,Olaus Rudbeck,Ronald Stade,Anders Retzius
New Atlantis is a novel by Sir Francis Bacon.,True,False,True,,
In his work The Chronology of the Ancient Kingdoms Amended this scholar studied a variety of mythological links to Atlantis.,Isaak Newton,Isaak Newton,Marie Curie,Albert Einstein,Socrates
Who thought that Atlantis was a naval power lying in front of the Pillars of Hercules and that it sank into the ocean in a single day and night of misfortune.,Plato,Aristotle,Plato,Homer,Pythagoras
Which of the following movies makes references to Atlantis?,All of these,Indiana Jones and the Fate of Atlantis (1992),"10,000 BC (2008)",Journey to the Center of the Earth (1959),All of these
Jules Verne wrote the science fiction novel The Maracot Deep which describes the discovery of the sunken remains of Atlantis.,False,True,False,,
Theosophists consider themselves spiritual and even genetic descendants of the inhabitants of the lost Atlantis.,True,False,True,,
In what country does the movie One Hundred and One Dalmatians take place?,Great Britain,The United States of America,Great Britain,France,Australia
What is the name of the main antagonist/villainess in the animated feature One Hundred and One Dalmatians?,Cruella,Estella,Drizella,Anastasia,Cruella
"In the movie One Hundred and One Dalmatians, who goes into Hell Hall in order to rescue the puppies before Pongo and Perdita arrive there?",Sergeant Tibbs,Colonel,Lieutenant Pussywillow,Sergeant Tibbs,Captain
"In the animated film One Hundred and One Dalmatians, what distracts the Baduns long enough to allow Sergeant Tibbs to flee with the puppies?",A television show called Whats My Crime,A television show called Whats My Crime,A video game called Whats My Crime,A board game called Whats My Crime,A radio chat segment called Whats My Crime
"In the movie One Hundred and One Dalmatians, what does Cruella do to convince the Dearlys that shes innocent of the kidnapping?",Calls them to console with them,Drives around Regents Park looking for them,Calls them to console with them,Writes them a letter expressing her sorrow for them,Comes over to their house to console them for their loss
"How many Dalmatian puppies were stolen by Cruella, Jasper and Horace in the movie One Hundred and One Dalmatians?",15,99,101,15,97
"Which of these was the only trick that succeeded in completely eluding Jasper, Horace, and Cruella in the movie One Hundred and One Dalmatians?",The puppies hiding under the bridge,Sergeant Tibbs escape through the hole in the wall,Pongo disguising the Dalmatians as Labradors,Pongo erasing the pawprints from the road,The puppies hiding under the bridge
In what month were Pongo and Perditas 15 puppies born in the animated film One Hundred and One Dalmatians?,October,April,January,October,July
"In the movie One Hundred and One Dalmatians, what is the occupation of Pongos owner Roger Radcliffe?",songwriter,writer,actor,painter,songwriter
A character in the movie High School Musical is named Sharpay. Is there a dog breed with the same name?,Yes,Yes,No,,
What is the name of Sharpays twin brother in the movie High School Musical?,Ryan,Ryan,Brandon,Jerry,Tyler
"In the movie High School Musical, Taylor is portrayed by Raven Symone.",False,True,False,,
"In the first High School Musical movie, is the final basketball game interrupted?",Yes,No,Yes,,
Is the Evans dog in High School Musical played by the movie directors dog?,Yes,Yes,No,,
"In High School Musical, Troys father is the coach of the East High football team.",False,True,False,,
Where do Troy and Gabriela first meet in the movie High School Musical?,at a ski lodge,at a ski lodge,during a basketball game,at the airport,at the library
"While he was driving his car down a California highway, this star said : This guys got to stop...hell see us.",James Dean,Jimmy Olsen,Jimmy Stewart,James Mason,James Dean
"What were the last words of Richard Holbrooke, a top level US diplomat?",Weve got to stop this war in Afghanistan.,We must bomb Cuba out of existence.,We must get our troops out of San Marino.,We should back the Bolivians in the Falklands War.,Weve got to stop this war in Afghanistan.
Which great minds last words were: I have offended God and mankind because my work did not reach the quality it should.?,Leonardo Da Vinci,Michael Landon,Leonardo Da Vinci,Dan Quayle,Dan Blocker
"He was one of the great show producers in America. His last words were: Curtain! Fast music! Light! Ready for the last finale! Great! The show looks  good, the show looks good!",Flo Ziegfeld,Damon Runyon,Flo Ziegfeld,Jackie Gleason,Noble Sisley
"His nine symphonies are still studied and played today. His last words were Friends applaud, the comedy is finished.",Beethoven,Mozart,Giotto,Hayden,Beethoven
This man gave us Tom Thumb and Jumbo the Elephant . His last words were: How were the receipts at Madison Square Garden?,P.T. Barnum,Marcus Dupree,P.T. Barnum,Flo Ziegfield,Oscar Hammerstein II
"Although he was never President, this man had a great influence on American history. His last words were A dying man can do nothing easy.",Ben Franklin,James Harrison,Ben Franklin,Franklin Pierce,Zachary Taylor
Her last radio message was KHAQQ calling Itasca. We must be on you. Gas is running low.,Amelia Earhart,Wilona Post,Margaret Mitchell,Amelia Earhart,Leonia Carroll
It is very beautiful over there. were the last words of this famous American. I hope a light bulb goes on and your phonograph is off when you get the  answer.,Thomas Alva Edison,Thomas Alva Edison,Tony Trabert,Thaddeus Martin,John Baresford Tipton
"Id hate to die twice. It is so boring. were the last words of this great scientist, famous for finding the cause of the Challenger tragedy.",Richard Feynman,Tom Ricketts,Dale Evans,John Baresford  Tipton,Richard Feynman
Elizabeth Rosemond Taylor was born in 1932 in a wealthy district of this city.,London,New York City,Paris,Boston,London
"What film studio cancelled Elizabeth Taylors contract after its production chief stated that She cant sing, she cant dance, she cant perform.?",Universal,Metro-Goldwyn-Mayer,Universal,20th Century Fox,Warner Bros.
"What 1950 comedy movie starring Elizabeth Taylor, Spencer Tracy and Joan Bennett was remade in 1991?",Father of the Bride,A Place in the Sun,Whos Afraid of Virginia Woolf?,Father of the Bride,The Taming of the Shrew
What statement regarding Elizabeth Taylors marriages is NOT correct?,All her marriages ended in divorce.,She was married eight times to seven husbands.,All her marriages ended in divorce.,She had four children with three different husbands.,She married twice one and the same person.
What 1960 movie stars Elizabeth Taylor as a fashion model and party girl who lives a wild and promiscuous life?,BUtterfield 8,BUtterfield 8,The V.I.P.s,Whos Afraid of Virginia Woolf?,"Suddenly, Last Summer"
What famous pearl did Richard Burton purchase in 1969 as a Valentines Day present for his then-wife Elizabeth Taylor?,La Peregrina,The Pearl of Allah,La Peregrina,The Huerfana,The Margarita Pearl
Which of these is NOT a perfume launched by Elizabeth Taylor?,Midnight Poison,White Diamonds,Midnight Poison,Passion,Black Pearls
"Elizabeth Taylor played the passionate, sexually-frustrated Maggie in the movie Cat On A Hot Tin Roof. Who wrote the Pulitzer Prize-wining play on which the movie is based?",Tennessee Williams,Eugene ONeill,Sam Shepard,Tennessee Williams,Arthur Miller
Elizabeth Taylor was awarded a record-setting contract of $1 million for playing the leading female role in this movie which nearly bankrupted 20th Century Fox?,Cleopatra,A Place in the Sun,The Last Time I Saw Paris,Cleopatra,Doctor Faustus
"Elizabeth Taylor gained 30 pounds (13.5kg) for the role of the frumpy, hard-drinking Martha and her performance earned her an Academy Award for Best Actress. Name the movie in which Marthas husband was portrayed by Taylors then-husband Richard Burton.",Whos Afraid of Virginia Woolf?,Whos Afraid of Virginia Woolf?,The Taming of the Shrew,Cat on a Hot Tin Roof,Butterfield 8
There are no other worlds to conquer were the last words of this great leader as he finished his conquests from Macedonia through what is now  Pakistan.,Alexander the Great,Hannibal,Napoleon Bonaparte,Charles DeGaulle,Alexander the Great
Kill me now or you are a murderer. were the last words of this great writer from Prague.,Franz Kafka,Franz Lehar,Heinrich Heine,Hermann Hesse,Franz Kafka
"Relax, this wont hurt. were the last words of this inventor of Gonzo journalism.",Hunter Thompson,Hunter Thompson,Ben Bradley,James Fenimore Cooper,William Randolph Hearst
"When a priest asked him to denounce the Devil, the last words of this leader of the French Enlightenment were: This is no time to make new enemies.",Voltaire,Voltaire,Charles DeGaulle,Moliere,Francois Villon
"He was an American writer who was born in Fresno, California. He wrote the song Come on to My House with his cousin Ross Bagdarian of Chipmunk fame. He also wrote Golden Boy and The Time of  Your Life. His last words were Everybodys got to die, but I have always believed an exception would be made in my case. Now what?",William Saroyan,William Saroyan,Clifford Odets,James Garfield,Russ Trian
"Lets cool it brothers were his last words, not those of Denzel Washington.",Malcolm X,H.Rap Brown,Malcolm X,James Brown,Joe Tex
This philosophers last words were not his Manifesto but Go on get out. Last words are for fools who havent said enough. Who was this writing partner of Engels?,Karl Marx,Karl Marx,Walter de la Mare,Vladimir Kosinski,Ivan Pushkin
"He was one of Americas greatest dramatists. His daughter, Oona, married Charlie Chaplin. His last words were: I knew it! I knew it! Born in a hotel room and damn it, died in a hotel room.",Eugene ONeil,Tennessee Williams,Clifford Odets,William Saroyan,Eugene ONeil
"Get my swan costume ready were the last words, not of Natalie Portman but of this great dancer.",Anna Pavlova,Marcella Thompkins,Karin Alneski,Lillian Gish,Anna Pavlova
He was the first US President to serve more that 8 years. His last words were: I have a terrific headache.,Franklin Delano Roosevelt,Franklin Delano Roosevelt,William T. Sherman,John Hammonds,Millard Filmore
This fine writer was punished for his sexual preference. His last words were Either the wallpaper goes or I do.,Oscar Wilde,William Jennings Bryan,Oscar Wilde,F. Scott Fitzgerald,Henry Wadsworth Longfellow
"This fine actress, better known for her romantic conquests, starred in the movie Lifeboat. Her last words were: Codeine ... bourbon.",Tallulah Bankhead,Judy Garland,Tallulah Bankhead,Lillian Gish,Margret Dumont
This famous singer was often On the Road. His last words were That was a great game of golf fellas.,Bing Crosby,Bobby Jones,Rudy Valle,Sam Snead,Bing Crosby
He was a great economist and a fine mathematician. His ideas revolutionized the field of economy. His last words were: I wish Id drunk more champagne.,John Maynard Keynes,Calvin Coolidge,Bernard Madoff,W. Gamaliel Harding,John Maynard Keynes
"James W. Rodgers was sentenced to death by firing squad for killing a miner. When asked if he had any last wishes, these were his last words.",Why yes:. A bulletproof vest.,Why yes:. A bulletproof vest.,To meet  you guys tomorrow.,"Certainly, let me list all 5000 things for you.",A blindfold and a cigar.
"In the movie Back to the Future part 2, in the Alternate 1985, what was different about Jennifers house?",There were bars across the windows.,There were bars across the windows.,There was another family living in it.,It was painted a different colour.,The porch was on the wrong side
Elijah Wood had a small role in the movie Back to the Future 2.,True,True,False,,
What movie was Biff watching while in the jacuzzi in the alternate 1985 in the movie Back to the Future 2?,A Fistful of Dollars,The Good The Bad  The Ugly,Paint Your Wagon,Dirty Harry,A Fistful of Dollars
"In Back to the Future 2, what month is it when Doc arrives from the future and tells Marty and Jennifer that he needs their help?",October 1985,October 1985,January 1985,July 1985,May 1985
What is the name of Marty and Jennifers daughter in the movie Back to the Future 2?,Marlene,Marlene,Marilyn,Marta,Mariah
"In Back to the Future 2, Doc electronically hypnotized Jennifer.",True,True,False,,
"In the 1989 movie Back to the Future Part II, Slamball was mentioned in a scene taking place in 2015. In what year was the sport Slamball actually created?",2001,2001,1985,2009,1989
"At 11:10 on Tuesday April 20, 1999, two students entered Columbine High School and in about 48 minutes massacred twelve students and a teacher.  Who are the two students responsible for one of the deadliest school shooting in the history of the United States?",Harris and Klebold,Mines and Woodham,Woodham and Harris,Harris and Klebold,Klebold and Kinkel
Michael Moore won an Academy Award for Best Documentary Feature for his film about the Columbine High School massacre. What activity that both shooters took part in did Michael Moore incorporate in the title of his film?,Bowling,Paint Ball,Video game  Doom,Bowling,Target Shooting
"Marc Lepina, a student of the Ecole Polytechnique in Quebec, Canada shot and murdered fourteen people on December 6, 1989. What group of people did Marc Lepina stalk and kill that day?",Women,Engineering students,Teachers,Women,Blacks
"Charles Carl Roberts entered a schoolhouse in Nickel Mines and shot ten students and teachers, killing five. To what peaceful religious group did the victims belong?",Amish,Quakers,Mormons,Anabaptist Brethren,Amish
The Virginia Tech Massacre is the deadliest school massacre is the history of the United States.,False,True,False,,
In May 2002 the Secret Service published a report about similarities in school shootings. What was NOT one of the findings of the report?,That attackers violence was sudden and  impulsive.,That most attackers had access to weapons.,That attackers violence was sudden and  impulsive.,"Before the attack, others were aware of the planned attack.",Most attackers felt bullied or persecuted.
The term Trenchcoat Mafia is associated with which school shooting?,Columbine High School,Heath High School,Virginia Tech,Kent State,Columbine High School
"The opening day of school in the town of Baslan, a part of the Russian Federation, turned into a day of horror for the small village. Terrorists held the children and parents hostages for three days until a bloody gun battle between the terrorists and the Russian security forces ended in a bloodbath that shocked the world. Who were the terrorists that caused the death of at least 386 people, 186 of the dead being children?",Chechen Separatist,Kurds,Chechen Separatist,Al-Queda,Chechen Loyalist
What was the name of the student and former marine who shot and killed fourteen people from the tower of the main building of the University of Texas?,Charles Whitman,John Wayne Gacy,Richard Stark,Charles Whitman,Jeffery Weise
"On April 3, 1962 sixteen-year-old Brenda Ann Spencer fired on the Cleveland Elementary School in San Diego killing the principal and school custodian and wounding eight children. What was the reason Brenda Ann Spencer gave the police when she was asked to explain her motives?",I dont like Mondays.,I dont like Mondays.,Somebody had to shut those monkeys up!,Those brats have called me names for the last time.,I had to get some sleep. The kids just kept screaming and yelling.
"This city, located north of the Dead Sea, is the lowest permanently inhabited site in the world.",Jericho,Bethlehem,Jericho,Rafah,Jerusalem
"This is the Greek name of a city located about 40km from Beirut, Lebanon.",Byblos,Byblos,Baalbek,Baabda,Batroun
In the centre of this city in Syria there is an ancient castle known as Citadel.,Aleppo,None of these,Aleppo,Athens,Ankara
The ancient city of Susa was conquered by Alexander the Great.,True,False,True,,
What European city was named Philippopolis or the city of Philip?,Plovdiv,Athens,Plovdiv,Istanbul,Bucharest
Which Turkish city is a probable site of the Hellenistic city of Antiochia ad Taurum?,Gaziantep,Istanbul,Izmir,Gaziantep,Edirne
"Beirut was conquered by Agrippa, a Roman statesman and general.",True,True,False,,
Jerusalem is a holy city of which of these major religions?,All of these,Islam,Judaism,All of these,Christianity
"The ancient city of Tyre, located in present-day Lebanon, is the birthplace of the mythological figure, named Europa.",True,False,True,,
Erbil Citadel is an ancient fortress in Iraq.,True,True,False,,
"Who built the Statue of Liberty, which was a gift from France to the US?",Auguste Bartholdi,Auguste Bartholdi,Alvere Bartholdi,Abelard Charton,Christophe Baya
What year was the Eiffel Tower constructed?,1889,1863,1892,1870,1889
Big Bens 150th anniversary was in May 2009.,True,True,False,,
Why was the Taj Mahal built by Mughal emperor Shah Jahan?,"It was built in memory of his wife, Mumtaz Mahal","It was built in memory of his wife, Mumtaz Mahal",It was built as a palace for the emperor.,It was built as a temple for the alter of eternal sanctity.,It was built as an amusement park attraction.
"What is the length of the entire Great Wall, with all of its branches?","5,500 miles","10,000 miles","5,500 miles",2000 miles,50 miles
"Joseph Strauss was chief engineer of this famous bridge, completed in 1937.",Golden Gate Bridge,The Bridge of Sighs,Golden Gate Bridge,Brooklyn Bridge,None of these
"This wall, sometimes called the Wailing Wall, is one of the most sacred sites in Judaism.",The Western Wall,The Western Wall,The Northern Wall,The Great Wall,The Southern Wall
The construction of the Colosseum of Rome was started under Emperor Nero.,False,True,False,,
"The wedding ceremony of Charles, Prince of Wales and Lady Diana Spencer took place at this famous landmark, which is also the seat of the Bishop of London.",St Pauls Cathedral,Westminster Abbey,Windsor Castle,St. Georges Cathedral,St Pauls Cathedral
Who did Barbie fall in love with in Toy Story 3?,Ken,Ken,Woody,None of these,Buzz
Porky is the name of the Piggy Bank in Toy Story.,False,True,False,,
What does Sid (the kid next door) do to Buzz in the movie Toy Story?,ties him to a rocket,throws him into a pool,None of these,ties him to a rocket,launches him off the house
How many fingers do the three little aliens have on one hand in the movie Toy Story?,3,3,None of these,2,4
"In the Toy Story movies, Buzz doesnt like Jessie.",False,False,True,,
"At the beginning of Toy Story 3, Andy is 17 and packing for college. What does he intend to do with his toys?",none of these,none of these,give them to the kid next door,donate them to the Sunnyside Daycare,take them all with him
"At the beginning of Toy Story, Buzz believes that he is a real space ranger.",True,True,False,,
"The Celtic spiral knot stands for growth, eternal life and movement.",True,False,True,,
Which of these is an eight-spoked cross symbolizing the eight day interval between Christâs entry into Jerusalem and his resurrection?,The Baptismal Cross,The Latin Cross,None of these,The Jerusalem Cross,The Baptismal Cross
Which Chinese character is used in Chinese New Year decorations and is often placed upside-down on the front door of a house?,"Fu - Blessing, Good Fortune, Good Luck","Cai - wealth, money","Fu - Blessing, Good Fortune, Good Luck",Lu â Prosperity,Shou â Longevity
"The cobra is an emblem associated with the king, and kingdom of Lower Egypt.",True,True,False,,
What is the most widely recognized international symbol of pharmacy?,The bowl of Hygeia,The Mano Fico,Fasces,Labrys,The bowl of Hygeia
"What symbol, also known as the key of the Nile, appears frequently in Egyptian tomb paintings?",The Ankh,The Circle,All of these,The Ankh,The Arrow
What did the two goldfish originally represent in Hinduism?,the two main sacred rivers of India - the Ganges and Yamuna,the two main sacred rivers of India - the Ganges and Yamuna,protection from suffering and harmful forces,None of these,"health, wealth, prosperity"
Which of the following is not a Hindu symbol?,The Claddagh,The Sri Yantra,The Shiva Lingam,The Swastika,The Claddagh
Which of these is a symbol of Ireland and a trademark registered by the Government of Ireland?,All of these,All of these,The Celtic Cross,The Leprechaun,The shamrock
What popular symbol represents opposites that could only exist in relation to each other?,Yin and yang,the cross,the swastika,the pentagram,Yin and yang
I still live ...Poetry were the final words of this great orator from New England.,Daniel Webster,John Clay,Henry Clay,John C. Calhoun,Daniel Webster
"Dont let it end like this. Tell them I said something. were the last words of this man. I guess if you are a revolutionary and have the US Army after you, you may not have a great quote at your death.",Pancho Villa,Jefferson Davis,Pancho Villa,McLean Stevenson,Robert Louis Stevenson
What is the question? were the last words of this poetess.,Gertrude Stein,Gertrude Stein,Theodora Hughes,Janis Joplin,Anna Pavloa
"Although he was not in his Blue Period, this painters last words were: Drink to me!",Pablo Picasso,Mark Twain,Pablo Picasso,Jean Marat-Corday,Fra Lippo Liippi
"His name has become a movie title. His last words were Shoot straight, you bastards! Dont make a mess of it.",Henry H. Morant,Henry H. Morant,Alan Hale,Ulysses Grant,Robert E. Lee
"Im going away tonight. were the last words of this great American soul singer. I guess he couldnt say I feel good at the  time, but I knew that he  would.",James Brown,Joe  Tex,Jerry Biggs,Jackie Lee Johnson,James Brown
He was the only US President to serve two non-consecutive terms. His last words were I have tried so hard  to do the right.,Grover Cleveland,Theodore Roosevelt,Ronald Reagan,Grover Cleveland,Franklin Delano Roosevelt
He was one of the most important scientists of all time and Beagle was important to his career even if he never had a dog. His last words were I am not the least afraid to die.,Charles Darwin,Charles Darwin,Sigmund Freud,Albert Einstein,Louis Pasteur
Her last words were: My G-D. Whats happened?. The entire world mourned her tragic death. The people that watched her funeral were probably more than those who watched her beautiful wedding.,Diana Spencer,Joan of Arc,Diana Spencer,Jane Austen,Charlotte Bronte
"Although he was a trained doctor, he gained his fame as a revolutionary. He was famous for riding motorcycles. His final words were I know you have  come to kill me. Shoot coward. You are only going to kill a man.",Ernesto Guevara,Ernesto Guevara,Juan  German Hernandez,Fidel Castro,Papa Doc Duvalier
"He was a painter, a war correspondent, a cigar smoker, and the leader of his country during some very tough times. His last words were: Im bored with it all.",Winston Churchill,Nikita Kruschev,Winston Churchill,Josef Stalin,Benjamin Disraeli
"His last words were not I cut down the cherry tree but It is well. I die hard, but I am not afraid to go.",George Washington,George Washington,Nathan Hale,Lord  Cornwallis,Julius Caesar
"In the classic romantic drama Casablanca, German Major Strasser leads a group of officers in singing Die Wacht am Rhein and in response, Victor Laszlo orders the house band to play the French national anthem. Which French city gives its name to the French National anthem?",Marseille,Lyon,Paris,Marseille,Montpellier
"This actress, who passed away in February, 2011, co-starred with Marlon Brando in the romantic drama film Last Tango in Paris.",Maria Schneider,Maria Schneider,Brigitte Bardot,Catherine Deneuve,Sophia Loren
"What European director created the 1984 movie Paris, Texas which was named after a US city of the same name?",Wim Wenders,Wim Wenders,Emir Kusturica,Michelangelo Antonioni,Pedro AlmodÃ³var
What is the occupation of Javier Bardems character in Woody Allens 2008 movie Vicky Cristina Barcelona?,painter,guitar player,psychiatrist,painter,photographer
"What comedy-drama movie, starring Mia Farrow and Jeff Daniels, tells the story of a fictional character who leaves a movie and enters the real world?",The Purple Rose of Cairo,The Purple Rose of Cairo,Leaving Las Vegas,From Paris with Love,Memphis Belle
"What historical fiction movie is based on Operation Wrath of God, which was directed by the Israeli government and the Mossad?",Munich,Judgment at Nuremberg,Munich,L. A. Confidential,Fear and Loathing in Las Vegas
What black comedy-crime film stars Frances McDormand as a pregnant police chief who investigates a series of homicides?,Fargo,San Francisco,The Toast of New Orleans,Fargo,Philadelphia
"This romantic musical film, which featured the songs Have Yourself a Merry Little Christmas and The Boy Next Door, is set at the time of the Louisiana Purchase Exposition.",Meet Me in St. Louis,Chicago,Meet Me in St. Louis,The Toast of New Orleans,Kansas City Bomber
What movie is NOT correctly matched with the actors who star in it?,"Philadelphia - John Cusack, Morgan Freeman","Gangs of New York - Leonardo DiCaprio, Cameron Diaz","Philadelphia - John Cusack, Morgan Freeman","From Paris with Love - John Travolta, Melissa Mars","Fear and Loathing in Las Vegas - Johnny Depp, Benicio del Toro"
"The clue words are Trip, Family, Christmas and European. Can you guess the password?",Vacation,Job,Leave,Vacation,Car
"The clue words are Large, Stone, Architecture and Sculpture. Guess the password.",Monolith,Moratorium,Monomer,Monolith,Mastoid
"The clue words are Diaphragm, Mind and Nerve. Guess the password.",Phrenic,Pestle,Peritoneum,Petrel,Phrenic
"The clue words are Mammal, Gnu, Middle and Dutch. Guess the password.",Wildebeest,Wildebeest,Thrush,Rhea,Shrike
"The clue words are Vapor, Disappear, Fade and Vanish. Guess the password.",Evanesce,Estranging,Evanesce,Escaping,Euphoria
"The clue words are Muscles, Sinew, Power, Strength and Physical. Guess the password.",Thew,Polaris,Thew,Ashlar,Khedive
"The clue words are Drapery, Hung, Door and Way. Guess the password.",Portiere,Portico,Portmanteau,Portiere,Poplin
"The clue words are Plant, Thick, Bulbous, Livestock and Feed. Guess the password.",Rutabaga,Usufruct,Wastrel,Tommyrot,Rutabaga
"The clue words are Burrowing, Animal, Stocky, Hairy and Claws.",aardvark,weasel,aardwolf,mole,aardvark
"The clue words are Small, Fly, Wheel, Regulates, Speed and Spinning. Guess the password.",whorl,whelk,whydah,whorl,whilom
"What Greek goddess transformed Callisto, one of her nymphs, into a bear?",None of these,Hera,Artemis,None of these,Aphrodite
Herman Melvilles novel Moby-Dick contains a description of the symbolism of what animal?,Whale,Shark,Dolphin,Whale,Penguin
"Amun, the god of Thebes, Egypt, was represented as goat-headed.",False,True,False,,
"Which deity has been depicted as having goat characteristics, such as hooves, horns, and a beard?",God Pan,Goddess Ganesha,God Dagon,God Pan,God Poseidon
"In Hinduism, it is believed that the dog is a messenger of Yama, the god of death.",True,True,False,,
"Sailors prayed to this Greek god for a safe voyage, sometimes drowning horses as a sacrifice.",Poseidon,Poseidon,Zeus,Neptune,Apollo
"In this country it is believed that a white elephant may contain the soul of a dead person, perhaps a Buddha.",Thailand,Japan,Turkey,Thailand,Turkmenistan
According to Roman tradition the future founders of Rome were saved by a wolf.,True,True,False,,
A pair of lions are featured on the Chinese flag.,False,True,False,,
The Egyptian god Horus was associated with which of the following animals?,Hawk,Lion,Horse,Hawk,Monkey
"Who directed the 2000 movie Gladiator, which won five Academy Awards including Best Picture?",Ridley Scott,Ridley Scott,Steven Spielberg,Sam Mendes,Anthony Minghella
The Oscar-winning movie A Beautiful Mind is based on the life of John Nash who won the Nobel Prize in this category.,Economics,All of these,Physics,Medicine,Economics
"What 2002 musical film, directed by Rob Marshall, centers on two criminals-of-passion?",Chicago,Chicago,Soul Men,Moulin Rouge,The Phantom of the Opera
"What sci-fi epic, directed by Peter Jackson, became the third movie to win all eleven Academy Awards for which it was nominated?",The Lord of the Rings: The Return of the King,Avatar,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Fellowship of the Ring,The Aviator
What do Clint Eastwoods movie Million Dollar Baby and Alejandro AmenÃ¡bars movie The Sea Inside have in common?,All of these,They were released in 2004.,They make references to euthanasia.,All of these,They won Academy Awards.
Which of these Oscar-winning 2005 movies was not inspired by a real-life incident or person?,Brokeback Mountain,Brokeback Mountain,Walk the Line,Capote,Crash
Who plays undercover cop Billy Costigan in Martin Scorseses crime movie The Departed?,Leonardo DiCaprio,Leonardo DiCaprio,Jack Nicholson,Alec Baldwin,Brad Pitt
What Oscar-winning crime thriller tells the story of a man who finds two million dollars in a satchel?,No Country for Old Men,Blood Simple,A Million Dollar Baby,No Country for Old Men,Little Miss Sunshine
"In 2009, this actress won a Best Actress Academy Award for The Reader and a Best Actress Golden Globe for Revolutionary Road.",Kate Winslet,Scarlett Johansson,Keira Knightley,Cate Blanchett,Kate Winslet
"The 2010 Oscar for Best Picture and Best Director went to The Hurt Locker, a movie set during this war.",Iraq War,Iraq War,War in Afghanistan,Vietnam War,WWII
Where was Errol Flynn born?,"Hobart, Tasmania","Edinburgh, Scotland","Perth, Australia","Copperstown, NY","Hobart, Tasmania"
During WWII Errol Flynn tried to enlist in the US armed forces.,True,True,False,,
"Who do the following words belong to: We will rebuild. Were going to come out of this stronger than before, politically stronger, economically stronger. The skyline will be made whole again?",Rudy Giuliani,Sarah Palin,Rudy Giuliani,George W. Bush,Barack Obama
"What invasion did Kofi Annan, the Secretary General of the UN, refer to when saying, I have indicated it was not in conformity with the UN Charter. From our point of view, from the Charter point of view, it was illegal.?",the 2003 Invasion of Iraq,the Afghanistan War,the Chechen War,the 2003 Invasion of Iraq,the U.S. Special Forces Attack on al-Qaida in Somalia
Who did Barak Obama defeat in the 2008 general election to become the first African American President?,John McCain,none of these,John McCain,Hilary Clinton,George W. Bush
"What country conducted nuclear tests in 2006 and 2009, triggering widespread international condemnation?",North Korea,China,Russia,Iraq,North Korea
What war was launched in 2001 as Operation Enduring Freedom?,the War in Afghanistan,the War in Afghanistan,the War in Somalia,the Bosnian War,the War in Iraq
Which of the following was declassified as a planet in 2006 by the International Astronomical Union?,Pluto,Uranus,Pluto,Mercury,Neptune
"In 2001, this engineer and multimillionaire became the first fee-paying space tourist when he visited the International Space Station (ISS) for seven days.",Denis Tito,Denis Tito,Charles Bolden,Gregory Olsen,Mark Shuttleworth
Who succeeded Fidel Castro when he resigned from office in February 2008?,his brother Raul Castro,his brother Raul Castro,his spouse Mirta Diaz-Balart,his son Alejandro Castro,Hugo Chavez
