question,answer,A,B,C,D
This actors birth name was Etienne Pelissier Jacques de Bujac. Can you guess his stage name?,Bruce Cabot,Tyrone Power,Bruce Cabot,Clark Gable,Ward Bond
My favorite health club is the International House of Pancakes. Because no matter how much you weigh there will always be someone there who weighs 150 pounds more than you will ever weigh. ,Lewis Black,Lewis Black,Jim Hannigan,Jeff Foxworthy,Chris Rock
"This comedian and actor, one of the favourite guests of Howard Stern and Conan OBrien, appeared in the movies Robin Hood: Men in Tights, Blue Streak, and Half Baked.",Dave Chappelle,Craig Charles,Tom Cool,Dave Chappelle,Chris Rock
"This comedian, born  in 1955 in Flint, Michigan, starred in the movies The King of Comedy, Hudson Hawk and The Apocalypse. She is also the author of the book Confessions of a Pretty Lady .",Sandra Bernhard,Roseanne Barr,Ellen Degeneres,Jo Brand,Sandra Bernhard
"This Cambridge University graduate quit a job with Shell Oil in England to become a stand-up comedian. He was recruited by the Brittish Channel 4, to host the game shows Distraction and Your Face or Mine?",Jimmy Carr,Jimmy Carr,Craig Charles,Craig Ferguson,Jackie Danielson
"This tall comedian, a regular guest on the show Tough Crowd with Colin Quinn, acted in the 1994 ABC sitcom, All-American Girl. She also won 2 Emmy Awards for writing and producing The Rosie ODonnell Show.",Judy Gold,Elon Gold,Elayne Boosler,David Brenner,Judy Gold
"This comedian, who starred in Ten Things I Hate About You as Dr. Walter Stratford, made the following observation about the difference between sexes:  You have nooo idea... the difference in sex drive, between a man and woman, is like the difference between shooting a bullet and throwing it!",Larry Miller,Jim Hannigan,Elon Gold,Andy Richter,Larry Miller
"This comedian, born in Mexico but raised in East L.A., starred in films such as Crocodile Dundee in Los Angeles,  A Cinderella Story and The Worlds Fastest Indian. Many of his comedy specials focus on serious issues of the Latino community.",Paul Rodriguez,Carlos Mencias,Paul Rodriguez,Pablo Hernandez,Paul Provenzano
"This comedian, author of the humorous book Yeah I Said It, won the 2001 award for Funniest Female Stand-Up Comic. She is known for her blunt observations on current events and on issues such as the difference between the sexes and races.",Wanda Sykes,Shirley Hemphill,Retta,Jan McInnis,Wanda Sykes
"This Jewish-American comedian, who studied drama at Yale University, became popular in the 1970s, with his extensive routines about the Watergate scandal.",Robert Klein,Robert Klein,Robert Sclimmel,George Carlin,Chris Rock
This country was known to the Romans as Bactria and is today an Islamic republic. Its capital is Kabul.,Afghanistan,Afghanistan,Albania,Algeria,Armenia
"This country, called Illyria by the Romans, is a republic located on the coast of the Adriatic Sea. Its capital is Tirana.",Albania,Afghanistan,Argentina,Algeria,Albania
This country was known to the Romans as Numidia. Today it is the second largest country in Africa. Its capital is Algiers.,Algeria,Angola,Afghanistan,Algeria,Argentina
This country and its capital have the same name. It is located between Spain and France in the Pyrenees Mountain Range.,Andorra,Angola,Andorra,Armenia,Austria
"This country, located in Africa along the Atlantic coast, has a capital, named Luanda.",Angola,Angola,Armenia,Antigua and Barbuda,Andorra
This country is located in the Caribbean Sea and has a capital named Saint Johns.,Antigua and Barbuda,Argentina,Armenia,Antigua and Barbuda,Andorra
This countrys capital is Buenos Aires. It is the second largest country in South America.,Argentina,Andorra,Antigua and Barbuda,Austria,Argentina
This country is located in the Caucasus Mountains in Asia and its capital is Yerevan.,Armenia,Algeria,Armenia,Afghanistan,Andorra
This country is located down under between the Pacific and Indian Oceans. Its capital is Canberra.,Australia,Argentina,Armenia,Australia,Angola
This country is located between the Danube river and the Alps in Europe. Its capital is Vienna.,Austria,Armenia,Andorra,Austria,Australia
"This country, located in Asia along the western shore of the Caspian Sea, has a capital named Baku.",Azerbaijan,Azerbaijan,Armenia,Angola,Andorra
In 1917 Charlie Chaplin became the first male actor to ever earn one million dollars as part of a deal with which company?,First National Exhibitors Circuit,Paramount Pictures,Keystone Film Company,Warner Bros.,First National Exhibitors Circuit
"Lita Grey, Charlie Chaplins second wife, played the role of a tempting angel in which Chaplins movie?",The Kid,Dogs Life,City Lights,The Circus,The Kid
Which song composed by Charlie Chaplin was covered by Nat King Cole?,Smile,Let There Be Love,Paradise,Smile,Poinciana
"This 1940 movie, nominated for an Academy Award for Best Picture, was the first dialogue film in Charlie Chaplins career.",The Great Dictator,Modern Times,The Great Dictator,Limelight,Monsieur Verdoux
"This actor, who starred in the first movie version of The Mark of Zorro, co-founded the United Artists Corporation, together with Charlie Chaplin, Mary Pickford and D.W. Griffith.",Douglas Fairbanks,Robert McKim,Douglas Fairbanks,"Noah Beery, Sr.",Sidney De Gray
The movie The Circus brought Charlie Chaplin his first honorary Oscar in what year?,1929,1928,1930,1973,1929
"Limelight, the only movie in which Buster Keaton and Charlie Chaplin appear together, was shot in what year?",1952,1957,1952,1950,1951
"This 1925 silent film stars Charlie Chaplin as the Little Tramp, who goes to the Klondike in order to find gold.",The Gold Rush,A Woman in Paris,The Kid,The Gold Rush,City Lights
"This 1931 movie, starring Virginia Cherill as a blind girl, was Chaplins best film according to Woody Allen.",City Lights,The Kid,A Woman of Paris,City Lights,The Pilgrim
"Charlie Chaplin died on Christmas Day, 1977 in which Swiss city?",Vevey,Vevey,Orbe,Morges,Vaud
Which of these statements about Australia is not true?,They are all true.,Australian law imposes fines on people who do not vote.,They are all true.,Australia has approximately nine sheep for every one person.,Australia is the smallest continent
"The Koala bear is not actually a bear, it just resembles one.",True,True,False,,
This is the smallest of all Australian states.,Tasmania,New South Wales,Tasmania,South Australia,Victoria
"Lake Eyre, the largest lake in Australia is also the lowest point, located at approximately this depth below sea level.",15 m (50 ft),15 m (50 ft),240 (787 ft),128 (420 ft),71 (233 ft)
No part of Australia is further than 280 miles (450 kilometres) from the sea.,False,False,True,,
The first radio station in Australia was launched in this year.,1912,1901,1925,1934,1912
Sydney hosted the Olympic Games in the year 1998.,False,True,False,,
Australias national flag is one of only two in the world to feature a seven-pointed star. The other one belongs to this country.,Jordan,Jordan,Albania,New Zealand,Cuba
The Fondas are related to which former news anchor?,Tom Brokaw,Peter Jennings,Tom Brokaw,Walter Cronkite,Dan Rather
Peter Fondas portrayal in Easy Rider delved in part into his real mothers death. How did she die?,suicide,alcoholism,suicide,heart attack,motorcycle accident
This Fonda starred in the movie Wooly Boys.,Peter,Francis,Jane,Henry,Peter
Henry and Jane Fonda appeared together in On Golden Pond co-starring with which leading actress?,Katherine Hepburn,Katherine Hepburn,Katherine Ross,Florence Henderson,Shirley McClaine
What is Jane Fondas birth name?,Lady Jayne Seymour Fonda,Lady Jayne Seymour Fonda,Cassandra Jane Fonda,Katherine Janet Fonda,Jane Elizabeth Fonda
What movie brought Henry Fonda his first Golden Globe Award?,On Golden Pond,The Grapes of Wrath,12 Angry Men,The Cheyenne Social Club,On Golden Pond
Jane Fonda was an outspoken critic of which war?,The Vietnam war,WWI,The Vietnam war,The Korean war,WWII
This granddaughter of Henry Fondas is an actress herself.,Bridget,Katherine,Bridget,Bethany,Candace
Henry Fonda had a lifelong friendship with which of these actors?,Jimmy Stewart,John Wayne,Gregory Peck,Johnny Carson,Jimmy Stewart
How many times was Henry Fonda married?,5,5,2,3,4
How old was Angelina Jolie when she started to cut herself along with her boyfriend?,14,15,16,14,13
Angelina Jolie had a sexual relationship with her Foxfire co-star Jenny Shimizu.,True,False,True,,
Where was Angelina Jolie born?,"Los Angeles, CA","Long Beach, CA",London,"Los Angeles, CA",Canada
Angelina Jolie was 5 years old when her parents divorced.,False,False,True,,
Jolie is actually Angelina Jolies middle name.,True,False,True,,
"As a child, Angelina Jolie wanted to become what?",funeral Director,funeral Director,ballet dancer,bunny,fairy
"Right after filming the movie Gia, Angelina Jolie quited acting for how long?",6 months,7 months,8 months,6 months,2 months
"The letter H, tattooed on Angelina Jolies left wrist, stands for what?",both Haven and Hutton,Hungry,both Haven and Hutton,Heaven,Hutton
Which of these actors was originally offered the role of Detective John Kimble in the 1990 comedy Kindergarten Cop?,Bill Murray,Bill Murray,Chevy chase,Clint Eastwood,Chuck Norris
The 1996 film Jingle All the Way was based on the obsession with these toys in the 80s?,Cabbage Patch Dolls,Cabbage Patch Dolls,Beanie Babies,Nintendo Entertainment System,Rubiks Cube
What is the name of the toy that Arnold Schwarzeneggers character is after in the 1996 comedy Jingle All the Way?,Turbo Man,Kung Fu Gangster,Ultraman,Turbo Man,Space Ranger
Arnold Schwarzenneger and Danny DeVito were originally offered to star in this 1991 film before starring in Twins.,Suburban Commando,Uncle Buck,Mr. Nanny,Lethal Weapon,Suburban Commando
Arnold Schwarzenegger co-starred in Jingle All the Way with funnyman Eddie Murphy.,False,True,False,,
"Meg Ryan was born on this date in Fairfield, Connecticut.","November 19, 1961","November 18, 1961","October 19, 1961","November 19, 1961","November 19, 1962"
What is Meg Ryans full birth name?,Margaret Mary Emily Hyra,Susan Ryan Jordan,Margaret Mary Emily Hyra,Margaret Emily Jordan,Karen Emma Walden
Meg Ryan had a relationship followed by a marriage with actor Randy Quaid.,False,False,True,,
Which of the following pairs of movies star both Meg Ryan and Tom Hanks?,Joe Versus the Volcano and Youve Got Mail,Youve Got Mail and I.Q.,Joe Versus the Volcano and Youve Got Mail,Joe Versus the Volcano and Courage Under Fire,I.Q. and Addicted to Love
Meg Ryan was in what daytime drama from 1982 to 1984?,As the World Turns,The Young and the Restless,As the World Turns,Another World,Days Of Our Lives
Meg Ryan has an asteroid named after her.,True,True,False,,
Meg Ryan played the niece of Albert Einstein in what 1994 romantic comedy?,I.Q.,When a Man Loves a Woman,French Kiss,Prelude to a Kiss,I.Q.
Did Meg Ryan turn down the role of Catherine Tramell in Basic Instinct?,Yes,Yes,No,,
How old was Meg Ryan when she made her first television commercial?,18,21,7,16,18
When and to what parents was actor Edward Norton born?,"August 18, 1969 to a teacher and a lawyer","August 18, 1979 to a banker and a history professor","August 18, 1969 to a teacher and a lawyer","August 18, 1974 to an insurance salesman and a doctor","August 18, 1964 to a doctor and a teacher"
"Edward Nortons grandfather was the developer who designed the city of Columbia, Maryland.",True,False,True,,
From which college did actor Edward Norton graduate?,Yale University,Harvard,New York University,Yale University,Columbia University
Actor Edward Norton joined a theater group called The Signature Players that produced plays written by which great playwright?,Edward Albee,Edward Albee,Tennessee Williams,Eugene ONeil,David Mamet
In which of these films was Edward Nortons first major role?,Primal Fear,Destination Anywhere,The Juror,Primal Fear,Deconstructing Harry
For which movie did Edward Norton put on 30 pounds to make himself look more dangerous?,American History X,The People vs. Larry Flynt,Destination Anywhere,American History X,Fight Club
In which movie did Edward Norton play a poker hustler?,Rounders,The Life of Aaron Stampler,Oceans Eleven,Rounders,Fight Club
In which of these movies did Edward Norton sing?,Death to Smoochy,Kingdom of Heaven,The Score,The Days of Song,Death to Smoochy
"Which was the first movie that Edward Norton directed, produced and acted in?",Keeping the Faith,The Score,Keeping the Faith,Kingdom of Heaven,Frida
In which movie does Edward Norton play a thief who tries to double-cross his partner (played by Robert De Niro)?,The Score,The Destination,The Score,Rounders,Lost in moment
"Rapper Bow Wow, who released his first album at the age of 13, starred in which 2005 movie?",Roll Bounce,Boyz in The Hood,Like Mike,Johnson Family Vacation,Roll Bounce
"In 2002, rapper and actor Mos Def starred in what Pulitzer Prize-Winning Broadway play?",Topdog/Underdog,Something The Lord Made,The Woodson,God Bless The Child,Topdog/Underdog
Which 2001 comedy-romance film starred Gabrielle Union as Conny Spalding?,Two Can Play That Game,Bad Boys 2,Two Can Play That Game,The Brothers,Deliver Us from Eva
"The members of boy band B2K played in which movie, directed by Chris Stokes?",You Got Served,You Got Served,Bebes Kids,House Party 3,Fat Albert
LisaRaye portrayed Diana Armstrong/Diamond in what 1998 film?,The Players Club,One On One,The Players Club,Strippers on The Floor,All of Us
Halle Berry co-starred with Pen̩lope Cruz in which 2003 horror movie?,Gothika,Soul Food,Ghost Ship,Gothika,House On The Haunted Hill
In what movie does Queen Latifah play a speed demon?,Taxi,Taxi,Movin Half Past,Living Color,Beauty Shop
"In this 1997 action movie, Vivica A. Fox co-stars with Will Smith.",Independence Day,Why Do Fools Fall In Love,Independence Day,Two Can Play That Game,Booty Call
"Ludacris appeared in which hip-hop-styled film, featuring Snoop Dogg, Dr. Dre, Xzibit and DJ Pooh?",The Wash,The Wash,Hustle And Flow,Crash,Yeah
"What renowned film director did actor Vincent DOnofrio play in 1994s film, Ed Wood?",Orson Welles,John Ford,Cecil B. Demille,Orson Welles,Alfred Hitchcock
How much weight did Vincent DOnofrio gain to play his break out role of Private Gomer Pyle in Stanley Kubricks Full Metal Jacket?,70 pounds,60 pounds,80 pounds,50 pounds,70 pounds
What year was Vincent DOnofrio Born?,1959,1962,1960,1959,1961
An Academy Award winning Actress thanked Vincent DOnofrio in her acceptance speech.,True,False,True,,
Vincent DOnofrio starred as pulp writer Robert E. Howard in the film The Whole Wide World with Renee Zelleweger. What heroic fictional character was Howards most famous creation?,Conan,Mike Hammer,Will Parry,Conan,Luke Skywalker
What was the first film Vincent DOnofrio acted in?,The First Turn On!,The First Turn On!,Adventures in Babysitting,Mystic Pizza,Full Metal Jacket
Vincent DOnofrio co-starred in Men In Black II with Will Smith and Tommy Lee Jones.,False,True,False,,
In which Law  Order show has Vincent DOnofrio starred?,Criminal Intent,Special Victims Unit (SVU),Law  Order (the Original),Life on the Streets,Criminal Intent
"Nicole Simpson and Ronald Goldman were stabbed several times in front of their L.A. home on June 12, 1994. Who was found guilty of the crime?",No one,No one,O.J. Simpson,The Night Stalker,Walter Payton
What was John Ritters birth name?,Johnathan Southworth Ritter,None of these,Johnathan Southworth Ritter,John Ritter,John Southworth Ritter
What was John Ritters major in college?,psychology,architecture,psychology,drama,pre-med
Which of these movies was John Ritter in?,All of these,Sling Blade,All of these,Hearts Afire,Problem Child
John Ritter was married more than once.,True,True,False,,
How many children did John Ritter have?,4,4,3,none,1
John Ritter died in the same hospital in which he was born.,True,False,True,,
John Ritters wife filed a $5 million wrongful death suit against the radiologist and cardiologist that diagnosed him.,False,False,True,,
"Ronnie Van Zant, a founding member of the Southern rock band Lynyrd Skynyrd, died in a tragic incident involving what?",An airplane,A vehicle,An airplane,Drowning,Skiing
"Lynyrd Skynyrds three disc set, released in 1991, was simply titled Box Set.",True,False,True,,
"Johnny and Ronnie Van Zants brother, Donnie, is the founder of .38 Special -- an American rock band.",True,False,True,,
"Comedic actor Jonathan Harshman Winters was born in Dayton, Ohio on what date?","November 11,1925","November 11, 1920","November 11, 1936","November 11, 1929","November 11,1925"
"Where did Jonathan Winters meet his wife, Eileen Schauder?",at the Dayton Art Institute.,at Kenyon College.,"at a bowling alley in Springfield, Ohio.",at the Dayton Art Institute.,"in Gambier, Ohio."
Jonathan Winters portrayed character Fats Brown in an episode of which fantasy TV series?,The Twilight Zone,The Sixth Sense,The Dead Man,Alfred Hitchcock Presents,The Twilight Zone
"This 1955 show, which was a summer replacement of The George Gobel Show, featured comedian Jonathan Winters.",And Heres the Show,Davis Rules,And Heres the Show,The Davis  Family,Hang Ups
"In a 2005 interview on XM radio this actor, host of the TV program Kids Say the Darndest Things, called Jonathan Winters The King.",Bill Cosby,Bill Cosby,Steve Martin,Rodney Dangerfield,Buddy Hackett
Which of these movies did not feature comic actor Jonathan Winters?,"Hollywood, Hollywood  1989",Moon Over Parador  1988,The Shadow  1994,The Adventures of Rocky and Bullwinkle 2000,"Hollywood, Hollywood  1989"
"This character, portrayed by comic Jonathan Winters, was a seemingly sweet old lady with a sharp tongue.",Maudie Frickert,Jane Davis,Maudie Frickert,Mary Glenworthy,Henrietta Glenworthy
"In this movie, based on a novel by Evelyn Waugh, Jonathan Winters played the roles of Henry Glenworthy and Rev. Wilbur Glenworthy.",The Loved One,The Loved One,"Its a Mad, Mad, Mad, Mad World",Stand -Up,"The Russians Are Coming, the Russians Are Coming"
"In this situational comedy, Jonathan Winters appeared as the infant son of the character, played by Robin Williams.",Mork and Mindy,Family Matters,Home Improvement,Gilligans Island,Mork and Mindy
"She was born in December of 1945 in Honolulu, Hawaii.",Bette Midler,Beverly Sills,Barbra Streisand,Bette Midler,Madonna
"She was born in April of 1942 and throughout her life, she has been a liberal political activist.",Barbra Streisand,Barbra Streisand,Bette Midler,Madonna,Beverly Sills
"She won 4 Grammy Awards in the period 1994-1991, an Emmy Award in 1992, and a Tony Award in 1974.",Bette Midler,Barbra Streisand,Bette Midler,Beverly Sills,MaDonna
She is known as the Queen of Pop.,Madonna,Madonna,Beverly Sills,Barbra Streisand,Bette Midler
She was born in May of 1929 and was famous for her coloratura soprano roles in opera.,Beverly Sills,Madonna,Barabra Streisand,Beverly Sills,Bette Midler
She co-hosted The View in 2006 during Best Friends week as a Best Friend of Barbara Walters.,Beverly Sills,Beverly Sills,Barbra Streisand,Madonna,Bette Midler
"She was named after a famous film actress (who her mom admired), although the name is pronounced differently.",Bette Midler,Madonna,Beverly Sills,Bette Midler,Barbra Streisand
"She attended Erasmus Hall High School as a teenager, where she sang in the choir with Neil Diamond.",Barbra Streisand,Madonna,Bette Midler,Beverly Sills,Barbra Streisand
She shared her 1968 Academy Award for Best Actress with Katherine Hepburn.,Barbra Streisand,Barbra Streisand,Madonna,Beverly Sills,Bette Midler
"In 2001, the Guinness Book of World Records recognized her as the most successful female musician.",Madonna,Beverly Sills,Bette Midler,Madonna,Barbra Streisand
When was actor Jim Carrey born?,"January 17, 1962","January 17, 1962","October 2, 1965","February 21, 1970","June 15, 1960"
What year did Jim Carrey win his first Golden Globe?,1999,2005,2000,2002,1999
What is Jim Carreys real name?,James Eugene Carrey,Jim Eugene Carrey,Jon Eugene Carrey,James Eugene Carrey,Jake Eugene Carrey
In what movie did Jim Carrey play the character of Officer Charlie Baileygates/Hank Evans?,"Me, Myself  Irene",Fun with Dick and Jane,"Me, Myself  Irene",Eternal Sunshine of the Spotless Mind,Dumb  Dumber
In which of these movies does Jim Carrey play the adult Joe Wenteworth?,Simon Birch,Bruce Almighty,How the Grinch Stole Christmas,Simon Birch,Man on the Moon
Has actor Jim Carrey confessed publicly that he suffered from paranoia?,No,No,Yes,,
Jim Carrey is known to be a fan of which of these bands?,Cannibal Corpse,ACDC,Reo Speedwagon,Cannibal Corpse,Atreyu
Jim Carrey has stated that he dislikes which one of the following movies?,The Computer Wore Tennis Shoes,Forrest Gump,The Village,Houseboat,The Computer Wore Tennis Shoes
Jim Carrey was cast as Dr. Evil in the movie Austin Powers.,True,True,False,,
Jim Carrey was an excellent student in high school.,False,False,True,,
Where was actor Will Ferrell born?,California,Virginia,Carolina,Detroit,California
What is Will Ferrells characters plan in the movie Zoolander?,to kill the prime minster of Malaysia,to gain control of the cereal companies,to kill the prime minster of Malaysia,to become the best fashion designer ever,to re-join his old band
What university did Will Ferrell graduate from?,University of Southern California,Boston College,University of Southern California,University of Delaware,University of North Califonia
"In 2001, Will Ferrell became the highest paid cast member of Saturday Night Live.",True,True,False,,
In 2000 Will Ferrell married an actress from this country.,Sweden,England,Sweden,Japan,China
"Will Ferrells co-star, who plays Cal in Talladega Nights, stars in which of these movies?",Walk Hard,Walk Hard,American Ganster,Benchwarmers,Good Sheperd
Which of the following movies starring Will Ferrell was released in 2008?,Semi-Pro,Old School,Zoolander,Semi-Pro,Anchorman
Which of the following is not a movie character portrayed by Will Ferrell?,Bobby Ricky,Ron Burgundy,Bobby Ricky,Jackie Moon,Mugatu
Which statement about the birth of actor Jerry Seinfeld is true?,"He was born on 29 April 1954 in Brooklyn, New York","He was born on 29 April 1954 in The Bronx, New York","He was born on 29 April 1954 in Brooklyn, New York","He was born on 29 April 1954 in Flushing, New  York","He was born on 29 April 1954 in Massepequa, Long Island"
Which statement concerning Jerry Seinfelds education is true?,He attended Oswego College  in upstate New York and transferred to Queens College in New York City. He graduated from Queens College.,He attended Oswego College  in upstate New York and transferred to Queens College in New York City. He graduated from Queens College.,He got his B.A. degree from Oswego College in upstate New York in psychology.,He attended Long Island University but graduated from Queens College in 1976.,He attended  and graduated from Long Island University with a degree in 1976.
Which of these women is famous as Jerry Seinfelds manager?,Carolyn Liebling,Drew Lansker,None of these,Carolyn Liebling,Carol Liefer
"In real life, William Peterson is a grandfather.",True,True,False,,
In what year did William Peterson make his film debut?,1981,1983,1979,1985,1981
"In Michael Manns Thief, what role did Peterson play, and what was his screen name?",Katz  Jammer Bartender - William L. Peterson,Katz  Jammer Bartender - William L. Peterson,Attorneys assistant -  Mike Gerafin,Member Mighty Joe Young Band - Thomas Gitlin,Large detective in suit - Allouyitious Dance
"In 1985,  Mr. Peterson played a U.S. Secret Service agent in Willliam L. Friedkins film, To Live and Die in L.A.  His characters first name was Rick.  Was the last name Choice?",No,Yes,No,,
Which of these actors did not act with Peterson in the film To Live and Die in L.A.?,Stockard Channing,John Pankow,Dean Stockwell,Darlanne Fluegel,Stockard Channing
"In a 1986 film, Mr. Peterson portrayed a character named Will Graham.  Give the name of the film, and its director.",Manhunter - Michael Mann,Into the Night - John Landis,Manhunter - Michael Mann,Goonies - Steven Spielberg,Ferrris Buellers Day Off - John Hughes
"In this little known 1992 comedy,  William Peterson played a character named Frank Scanlon.  Name the movie.",Passed Away,For the Boys,Passed Away,Riding in Cars With Boys,Weekend at Bernies
William Peterson wears an old football jersey in many of his movies.,True,False,True,,
In what year was actress Sally Field born?,1946,1947,1948,1949,1946
Sally Field got her start as a surfer girl on the 1960s show Gidget.,True,False,True,,
Who did Sally Field marry in 1968?,Stephen Craig,Alan Griesman,Burt Reynolds,Paul Lenoke,Stephen Craig
In which 1993 movie did Sally Field co-star with Robin Williams?,Mrs. Doubtfire,Forrest Gump,Mrs. Doubtfire,Eye For An Eye,Not Without My Daughter
Sally Fields birth mother and father divorced in 1950.,True,False,True,,
Was Sally Field a cheerleader in high school?,Yes,No,Yes,,
"During her 2007 Emmy Award acceptance speech, Sally Field made a pro-war statement.",False,True,False,,
In which movie did Sally Field provide the voice of a cat named Sassy?,Both of These,Homeward Bound: The Incredible Journey,None of These,Both of These,Homeward Bound II: Lost In San Francisco
"This 1992 film, directed by Ron Howard, starred Nicole Kidman as an Irish immigrant who made her way to the United States to take part in the Land Run of 1893.",Far and Away,Windrider,Archers Adventure,Far and Away,Room to Move
"This movie, directed and co-written by Stanley Kubrick and based on the novel Traumnovelle, stars Nicole Kidman and Tom Cruise, who play a troubled couple in New York City.",Eyes Wide Shut,Skin Deep,Eyes Wide Shut,Days of Thunder,Far and Away
"This 2001 horror/suspense film stars Nicole Kidman as a mother of two young children living in a house they assume to be haunted, only to find out they are the ghosts inhabiting the house.",The Others,The Others,The Haunted,The House on Haunted Hill,The Messengers
Nicole Kidman provided the voice of Norma Jean in what 2006 animated comedy?,Happy Feet,Ice Age: The Meltdown,Barnyard,Over the Hedge,Happy Feet
In this movie Nicole Kidman plays a woman named Isabel who just wants to live a normal life. She meets a failing movie star who wants to find an unknown actress to star with him in a TV show and he picks her for the role.,Bewitched,To Die For,Bewitched,Practical Magic,The Bit Part
Nicole Kidman plays Dr. Chase Meridian in this 1995 superhero film also starring Val Kilmer.,Batman Forever,Batman Begins,Batman Forever,Batman Returns,Batman
This 2003 movie stars Nicole Kidman and Jude Law as lovers torn apart by the Civil War and Renee Zelweger as a helping hand.,Cold Mountain,Dead Calm,Cold Mountain,The Peacemaker,The Interpreter
"This 2004 film stars Nicole Kidman as a young widow, who believes her dead husband has been reincarnated into a young boy, who has intimate knowledge of the past she shared with her deceased husband.",Birth,Eyes Wide Shut,My Life,Birth,Human Stain
"This 1989 thriller stars Sam Neill and Nicole Kidman as a couple vacationing on their yacht in the Pacific. They come across a stranded man played by Billy Zane, who claims to have lost his companions on a sinking ship.",Dead Calm,Malice,Days of Thunder,To Die For,Dead Calm
In this film Nicole Kidman and Sandra Bullock play sisters who are witches and belong to a family that is cursed - any man who falls in love with a woman from the family will die tragically.,Practical Magic,Practical Magic,The Portrait of a Lady,My Life,To Die For
This thriller/action movie stars George Cooney as a Special Forces Intelligence Officer and Nicole Kidman as a nuclear expert for the White House.,The Peacemaker,Dogville,Malice,The Interpreter,The Peacemaker
Nicole Kidman starred with Matt Dillon and Joaquin Phoenix in this novel-based movie about an older woman who seduces a teenage boy and convinces him to kill her husband.,To Die For,Eyes Wide Shut,Far and Away,The Human Stain,To Die For
"American actor Jerry Orbach was born on October 20, 1935 in which city?",New York City,"Los Angeles, CA",New York City,"Nanticoke, PA","Philadelphia, PA"
Actor Jerry Orbach studied drama and acting in which two famous educational institutions?,Northwestern University and the Actors Studio,Uta Hagens Acting Academy and The Aspen Acting Space,University of Southern California and the Actors Studio,Northwestern University and the Actors Studio,Uta Hagens Acting Academy and the Actors Studio
"In his first major role, actor Jerry Orbach played El Galo, in which 1960 musical comedy?",The Fantasticks,Scuba Duba,The Fantasticks,The Cradle Will Rock,Carnival
Jerry Orbach starred with Anna Maria Alberghetti in which Tony-award winning Broadway musical?,Carnival,The Cradle Will Rock,Chicago,Scuba Duba,Carnival
"Jerry Orbach received his first Tony Award nomination for his portrayal of Sky Masterson, in which Broadway show?",Guys and Dolls,Guys and Dolls,The Cradle Will Rock,Carnival,Scuba Duba
"In this movie, directed by Woody Allen, Jerry Orbach played a criminal, named Jack Rosenthal.",Crimes and Misdemeanors (1989),Mad Dog Call (1961),Crimes and Misdemeanors (1989),Last Exit to Brooklyn (1989),The Gang That Couldnt Shoot straight (1971)
Jerry Orbach won the Tony Award for Best Actor for his role in which 1968 musical?,"Promises, Promises",Carnival,"Promises, Promises",Chicago,Guys and Dolls
"This Broadway musical, produced by David Merrick, featured Jerry Orbach in the role of musical director, Julian Marsh.",42nd Street,42nd Street,6RMS RIV VU,Chicago,Annie Get Your Gun
Jerry Orbach starred with Chita Rivera and Gwen Verdon in which 1975 play?,Chicago,The Cradle Will Rock,The Natural Look,Chicago,Scuba Duba
"In the long-running drama Law and Order, detective Lennie Briscoe, portrayed by Jerry Orbach, had a nephew whose name was what?",Ken Briscoe,John Briscoe,Ken Briscoe,Ken Branch,David Briscoe
When was comedian Bob Newhart born?,9/05/1929,9/05/1919,9/05/1939,9/05/1949,9/05/1929
Where did Bob Newhart live as a child?,Oak Park,Indianapolis,Los Angeles,St. Paul,Oak Park
From which college did Bob Newhart graduate?,Loyola (of Chicago ),Loyola (of Los Angeles),Marquette,DePaul,Loyola (of Chicago )
What was Bob Newharts vocation before entering the entertainment industry?,Bookkeeper,College instructor,High school English teacher,Bookkeeper,Cadillac salesman
How many children do Bob Newhart and his wife have?,4,1,4,3,2
How many times did Bob Newhart appear as a guest on The Tonight Show with Johnny Carson?,87,87,29,18,43
When did the sitcom The Bob Newhart Show air?,1972-1978,1971-1980,1969-1976,1972-1978,1970-1979
What role did Bob Newhart play in The Bob Newhart Show?,"Dr. Bob Hartley, psychologist","Dr. Bob Loudin, psychiatrist","Dr. Bob Hartley, psychiatrist","Dr. Bob Hartley, psychologist","Dr. Bob Loudin, psychologist"
"Which is true about Bob Newharts sitcoms, The Bob Newhart Show and Newhart?",Bobs character had no children .,Bobs character had no children .,Bobs character was married to a sexy blonde.,Bobs character had a best friend who was a dentist.,Bobs character wore glasses.
Who portrayed Bobs wife on The Bob Newhart Show?,Suzanne Pleshette,Suzanne Pleshette,Mary Frann,Marcia Wallace,Julia Duffy
Who portrayed the doctors sassy red-haired assistant in The Bob Newhart Show?,Marcia Wallace,Mary Frann,Marcia Wallace,Suzanne Pleshette,Julia Duffy
What role did Peter Bonerz play in The Bob Newhart Show?,The dentist,Bobs brother-in-law,The dentist,The pilot,The paranoid patient
Bob Newharts album The Button Down Mind of Bob Newhart outsold the cast album of The Sound of  Music.,True,False,True,,
This actors first role was in the hit movie Animal House and he has starred in over 30 movies since 1978. Can you name him?,Kevin Bacon,Kevin Bacon,Danny DeVito,John Belushi,John Lithgow
James Caan played Don Vito Corleone in 1972s The Godfather.,False,True,False,,
Meryl Streep began her career in 1987.,False,True,False,,
