question,answer,A,B,C,D
Complete the popular proverb: Tall oaks grow from ...,Little acorns,Small saplings,Nutritious soil,Strong earth,Little acorns
"What is the missing part of the proverb, The ... wounds more than a lance?",Tongue,Evil eye,Tongue,Hand,Word
What is the end of the proverb Two wrongs dont make ...?,A right,It easier,The world a better place,A right,A fight
What is the missing part of the saying Make a silk purse out of a ...?,Sows ear,Cows ear,Silk dress,Sows ear,Woolen sock
What is the missing word of the proverb: A loaded ... makes no noise?,Wagon,Train,Wagon,Gun,Horse
What is the missing word from the popular saying A burnt child dreads the ...?,Fire,Stove,Fire,Air conditioner,Match
Complete the following proverb: Learn to walk before you ...,Run,Run,Crawl,Speak,Leap
"Which word refers to the ancient Greek songs, performed by a chorus in honor of the Greek god, Dionysus?",dithyramb,thriambos,dithyramb,thyrsus,tirsu
"Within the Olympian tradition, Dionysos was said to be the son of Zeus and which mortal woman?",Semele,Semele,Medea,Metis,Leda
In both Greek and Roman mythology Dionysus is known by what other name?,Bacchus,Bacchus,Ares,Cadmus,None of these
Which word refers to the ecstatic female worshippers of god Dionysos?,maenads,maenads,satyrs,herms,sileni
Dendrites is one of the epithets used for god Dionysus.,True,False,True,,
"God Dionysus is viewed as the promoter of civilization, a lawgiver, and lover of peace.",True,True,False,,
"Which word refers to the eating of raw flesh, a common practice in Dionysian worship?",omophagia,ekstasis,sparagmos,enthousiasmos,omophagia
"These mythological half-man and half-goat creatures, which roamed the woods and mountains, were companions of Dionysus.",satyrs,satyrs,centaurs,bacchaents,silenis
Worshippers of god Dionysus often wore what type of attire over their shoulders?,fawn skin,goat-skin,lions head,fawn skin,sheep-skin
"Anthesteria, a festival in honour of Dionysus, celebrated the maturing of the wine stored at the previous vintage, and the beginning of spring.",True,False,True,,
Which one of these goddesses is NOT similar to Aphrodite in some way?,Saraswati,Saraswati,Turan,Inanna,Ishtar
Was the lime tree goddess Aphrodites sacred tree?,Yes,No,Yes,,
Which one of these animals was NOT sacred for Aphrodite?,Peacock,Dolphin,Swan,Sparrow,Peacock
Which one of these names is not one of goddess Aphrodites surnames?,Telaia,Dionaea,Anandymene,Acraea,Telaia
"According to Greek mythology, who was Adonia?",The name of a festival to celebrate Adonis and Aphrodite,Adonis and Aphrodites daughter,Aphrodites servant,The name of a festival to celebrate Adonis and Aphrodite,Adonis and Aphrodites son
"Born in Barrow, Suffolk she studied to become one of the most important portrait painters in the 17th century.",Mary Beale,Antoinette Bouzonnet-Stella,Mary Beale,Lucrina Fetti,Artemesia Gentileschi
"In her twenties, this Dutch painter became the only female member of the Haarlem painters guild and quickly adopted students of her own.",Judith Leyster,Anne Killigrew,Judith Leyster,Giovanna Garzoni,Maria Sibylla Merian
She is the only Flemish woman to have specialized in still-life painting as early as the beginning of the 17th century.,Clara Peeters,Teresa Del Po,Maria Sibylla Merian,Louise Moillon,Clara Peeters
"She was arguably the most educated and most famous woman of the 17th century. She spoke Latin, modern European languages, Greek, Hebrew, Arabic, Syriac, Aramaic, and Ethiopian.  She also excelled in art, music and literature.",Anna Maria van Schurman,Luisa Ignacia Roldan,Rachel Ruysch,Anna Maria van Schurman,Teresa Del Po
"This Swiss Neoclassicist painter was chosen to paint the portrait of Monsignor Nevroni, bishop of Como, before she turned 12.  Later, she became a distinguished portrait painter.",Angelica Kauffmann,Elizabeth Blackwell,Angelica Kauffmann,Ann Bateman,Hester Bateman
"Born in London, she became the most important woman in the silver trade.  She and her husband made their reputation with silver in the popular French rococo style.",Louisa Courtauld,Louisa Courtauld,Amelia Farnborough,Mary Ann Croswell,Marie Nicole Dumont
This woman is referred to as the the most outstanding woman goldsmith of her generation . But this was not by chance - she was the daughter of the famous English silversmith Simon Pantin.,Elizabeth Godfrey,Angelica Kauffman,Elizabeth Godfrey,Rebecca Emes,Anne Seymour Damer
She was the predecessor of Madame Tussaud. She modelled wax figures of famous people.,Patience Wright,Luisa Roldan,Frances Scott,Patience Wright,Caroline Watson
"Although she was very young in 1876,  she had great success painting the portrait of Sarah Bernhardt.",Louise Abbema,Charlotte Bonaparte,Maria Bashkirtseff,Louise Abbema,Anna Bilinska
"The themes of this artist are feminist and political, depicting literary-historical figure groups and decorative female heads.",Marie Spartali Stillman,Marie Spartali Stillman,Suzanne Valadon,Annie Swynnerton,Lilly Martin Spencer
In Greek mythology the Cyclopes were the so called Olympians masons. They built the marvellous palace of the gods at the top of the highest mountain in Greece - Mount Olympus.,True,False,True,,
Why did Phaethon take Apollos chariot and ride off across the sky?,"He was taunted about his origin by Epaphus, a son of Zeus.",He wanted to take the place of his father Helios.,His mother Clymene drove him to take his fathers chariot.,He wanted to impress the Greek goddess Aphrodite because he was in love with her.,"He was taunted about his origin by Epaphus, a son of Zeus."
What was the name of the mythological statue in which Pygmalion fell in love and eventually the statue became a woman?,Galatea,Lachesis,Galatea,Echo,Leda
"What was the name of the Lithuanian god of the sky, earth, sea and all living creatures who decided to punish mankind and sent to the Earth the Spirit of water and the Spirit of wind?",Praamzius,Praamzius,Jurate,Patrimpas,Perkunas
"What was the name of the Lithuanian god that can be compared to the Creek god of underworld, Hades?",Pikulas,Saule,Pikulas,Menulis,Zemepatis
"According to Greek myths, this was the first robot which was made by Hephaestus to protect Crete.",Talos,Rhadamanthys,Talos,Sarpedon,Minos
In Finnish myths the Sampo was a magic artifact made by the blacksmith IImarinen for the sorceress Louhi of Pohjola. What kind of object was this artifact?,a mill,a medallion,a mill,a sword,a ring
"According to Scandinavian mythology, the chaos will defeat the guardians of good and this catastrophe will bring the world to an end. What is the name of this final battle between evil and good, in which the gods will be outnumbered?",Ragnarok,Heimdall,Ragnarok,Einherjar,Asgard
"This is the goddess of eternal youth, the guardian of the golden apples of youth in the Scandinavian mythology.",Idun,Volla,Idun,Freya,Bragi
"According to a Polish legend, which city in Poland was named after a hero who defeated a fearful dragon?",Cracow,Warsaw,Pornan,Torun,Cracow
What state in the U.S. is commonly believed to have Spanish as an official language?,New Mexico,New Mexico,Oregon,Nevada,Hawaii
In what country in Africa is Spanish the official language?,Equatorial Guinea,Libya,Angola,Nigeria,Equatorial Guinea
What language is regarded as the biggest contributor to the Spanish language after English and Latin?,Arabic,Persian,Turkish,Arabic,Hungarian
"Besides Espanol, Spanish language is also called Castellano.",True,True,False,,
"This language, spoken by the Sephardic Jews, is a combination of Hebrew and Spanish.",Ladino,Galician,Ladino,Basque,Catalan
Spanish is one of the six official languages of the U.N.,True,False,True,,
What is the name of the institution responsible for regulating the Spanish language?,Royal Spanish Academy,Department of Spanish,Royal Spanish Academy,Castillian association,Ministry of Spanish
What did the Royal Spanish Academy rule in 1994?,The consonants CH and LL would not be considered separate letters.,English words would not be accepted into the Spanish language.,The consonants CH and LL would not be considered separate letters.,Spanish should be the official language of Spain.,The term Castilian would not be used.
The official languages of Haiti are Spanish and French.,False,False,True,,
In how many countries is Spanish the official language?,21,21,15,32,12
In the movie Rent which 4 of the 8 main characters have AIDS?,"Roger, Mimi, Collins, Angel","Roger, Maureen, Mark, Collins","Angel, Roger, Bennie, Maureen","Joanne, Mark, Bennie, Maureen","Roger, Mimi, Collins, Angel"
What drug is Rent character Mimi addicted to?,Heroin,Marijuana,Meth,Heroin,Cocaine
"What is the name of this song, featured in the movie Rent: Compassion, to fashion, to passion when its new.  To Sontag.  To Sondheim. To anything taboo. Ginsberg, Dylan, Cunningham and Cage. Lenny Bruce. Langston Hughes. To the stage. To Uta. To Buddha. Pablo Neruda, too. Why Dorothy and Toto went over the rainbow To blow off Auntie Em...?",La Vie Boheme,Over The Rainbow,Auntie Em,La Vie Boheme,Famous People
What is the name of the song that Maureen and Joanne sing to each other at their commitment ceremony in the film Rent?,Take Me or Leave Me,Like It or Not,Take Me or Leave Me,Walk Away,Lesbian Love
"In the movie Rent, what is Marks relation to Maureen?",They used to date.,They used to date.,They are cousins.,They are siblings.,They used to be married.
What actor gained 55 pounds and learned how to box to bring the real-life story of boxer Jake La Motta to the screen?,Robert De Niro,Robert De Niro,James Dean,Paul Newman,Marlon Brando
"In order to play insomniac Trevor Reznik in The Machinist, this actor lost 60 pounds in just a few months. Later he went from 130 pounds to 230 pounds in six months to play Bruce Wayne.",Christian Bale,Christian Bale,Jake Gyllenhaal,Toby Mcquire,Matt Damon
"This actress gave you goose pimples when her character, Annie Wilkes, told writer Paul Sheldon, Im your number one fan. There is nothing to worry about. You are going to be just fine. Im your number one fan.",Kathy Bates,Glen Close,Sharon Stone,Kathy Bates,Charlize Theron
"Paul Newman has starred in Cat on a Hot Tin Roof, Butch Cassidy and the Sundance Kid, Cool Hand Luke and The Sting. In what movie did Newmans character praise Fat Man, you shoot a great game of pool.?",The Hustler,The Hustler,Slap Shot,The Color of Money,Hud
What is grammaticalization?,The conversion of a substantive word into an auxiliary word,The conversion of a pidgin language into a creole language,The gradual addition of grammar rules to a language,The process of learning the grammar of a language,The conversion of a substantive word into an auxiliary word
Approximately how many spoken languages are there in the world today?,6000,150,6000,10000,300
What does the linguistics term creole mean?,"A language which is adopted from a pidgin language, but is more complex, with its own grammatical rules.",A dialect of French,"A language which is adopted from a pidgin language, but is more complex, with its own grammatical rules.",A person who speaks a pidgin,A person descended from slaves who lives in Louisiana
What is Ebonics (also known as African American Vernacular and Black English)?,A dialect of English,A dialect of English,Neither a language nor a dialect,A separate language in its own right,An artificial construct to satisfy some politicians ambitions
"Of all the languages in the world today, how many are written languages?",200,1000,3000,500,200
Which statement about English is true?,"It is a language related to German in structure, but with a great deal of French vocabulary.","It is a language related to German in structure, but with a great deal of French vocabulary.",It is descended primarily from the ancient Viking language.,It is In the same language family as Hungarian.,It is in the same language family as Chinese.
Which one of the following languages is not in the same language family as the others?,Finnish,Russian,English,Farsi (the language spoken in Iran),Finnish
Which of the following languages is a highly inflected language?,Russian,Mandarin,Japanese,English,Russian
"Sentence structure can be described in the following way: S=Subject. O=Object. V=Verb. There are 6 possible sentence structures: SVO (as English is), SOV (as German is), OSV, OVS, VSO, and VOS. Of these 6 possible sentence structures, which one has never been found to exist?",None of these. All 6 have been found.,OVS,None of these. All 6 have been found.,OSV,VOS
"The word gargantuan is an eponym derived from a character, depicted by this 16th century French author.",FranÃ§ois Rabelais,"Alexander Dumas, pÃ¨re",HonorÃ© de Balzac,Victor Hugo,FranÃ§ois Rabelais
"The term Quizling, which means a traitor, is derived from the name of Vidkun Quisling, who assisted Nazi Germany while serving as Minister-President of this country.",Norway,Poland,Norway,Finland,Austria
The name of the famous womanizer Giacomo Casanova has become synonymous with the art of seduction. Who wrote the book Histoire de ma vie which covers part of Casanovas life?,Giacomo Casanova,Alexandre Dumas,Gustave Flaubert,Tirso de Molina,Giacomo Casanova
Which of these musical instruments was named after a person?,saxophone,saxophone,All of these,piano,clarinet
What Ancient Greek lyric poet was born on the island of Lesbos from which the term lesbian is derived?,Sappho,Herodas,Sappho,Euripides,Homer
"The word shylock, which refers to a ruthless moneylender, is derived from the name of a character appearing in what Shakespearean play?",The Merchant of Venice,The Two Gentlemen of Verona,Measure for Measure,King Lear,The Merchant of Venice
"The phrase Herculean task, meaning a difficult task that requires great effort, originates from the stories of the Twelve Labors of the divine hero Hercules. Which of these is not one of the labors Hercules had to perform?",Take fire from Mount Olympus,Clean the Augean stables in a single day,Take fire from Mount Olympus,Capture Cerberus,Slay the 9-headed Hydra
"The modern sandwich is possibly named after the 4th Earl of Sandwich, who allegedly ordered his servant to bring him meat tucked between two pieces of bread, as he was unwilling to leave this activity.",gambling,playing chess,gambling,shooting birds,reading
"What is the origin of the word maverick, which refers for a person of independent views?","It is derived from the name of Samuel Maverick, a Texan who lived in the 19th century.","It is derived from the name of a guitar, called Fender Maverick.","It is derived from the name of The Mavericks, a country music band.","It is derived from the name of Samuel Maverick, a Texan who lived in the 19th century.",It is derived from the western TV series Maverick.
"Which of these weapons, named after people, is colloquially known as The Gun That Won the West?",Winchester rifle,Shrapnel shell,Kalashnikov,Gatling gun,Winchester rifle
Yogic postures are know as this.,Asanas,Mantra,Tantra,Asanas,Mudra
Yoga originates from this country.,India,India,Russia,Egypt,China
"The breathing exercises, pranayama help with this.",All of the above,Calming you down,Refreshing you,Revitalizing your body,All of the above
Yoga literally means this.,Union,Lifting,Union,Exercise,Creation
Each Yoga path is suited to a different temperament or approach to life.  How many different main paths are there in Yoga?,4,1,3,4,2
Bhakti Yoga is the path of this.,Devotion or Divine Love,Action,Physical Control,Devotion or Divine Love,Wisdom
That which enters the body is called Prana and that which leaves it is called Apana.  What does Prana mean?,Life force,Light,Life force,Air,Body
Which of these is a principle of Yoga,All of the above,All of the above,Positive Thinking and  Meditation,"Proper Diet, Proper Relaxation",Proper Exercise
"Although in western culture she is known for the Dance of the Seven Veils, the Bible only says she danced for Herod. Her dancing pleased Herod so much that he promised her anything she wanted. What famous dancer asked for the head of John the Baptist?",Salome,Salome,Judith,Jezebel,Bathsheba
"Considered by many to be one of the greatest American dancers, this Kirov Ballet dancer defected while touring in Canada in 1974. He became the Principle Dancer for the American Ballet Theatre. Which dancer played Carrie Bradshaws Russian boyfriend in Sex in the City?",Mikhail Baryshnikov,Nijinsky,Alexander Gudunov,Rudolf Nureyev,Mikhail Baryshnikov
"Blue jean baby, LA lady, seamstress for the band is the beginning line in this Elton John song. Who is the Ballerina, you must have seen dancing in the sand?",Tiny Dancer,Tiny Dancer,Suszanne,Billie Jean,Dancing Queen
"This American woman is often called the Mother of Modern Dance. She was a hit in Europe but many Americans disapproved of her life style and politics. Whose last words were reported to be Goodbye my friends, I am off to glory.",Isadora Duncan,Ruth Page,Twyla Tharp,Ruth St. Denis,Isadora Duncan
What is the name of the dancer described in the following lyrics?,Mr. Bojangles,Mr. Bojangles,Mr. Greenjeans,Mr Wiggle,Mr Butterbeans
"She was the prima ballerina for the New York City Ballet from 1947 to 1960. She was married to George Balanchine, one of the greatest ballet choreographers of the 20th century, who wrote some of his most famous works for her. What famous ballerina danced Balanchines The Firebird and originated the role of the Sugar Plum Fairy in Balanchines The Nutcracker?",Marie Tallchief,Heather Watts,Marie Tallchief,Agnes de Millie,Suzzane Farrell
"She came out strutting wearing only a button and a bow. But it was the grand finale that got the audience every time. She did a triple somersault and when she hit the ground, she winked at the audience and then she turned around. Who had a tattoo of a cowboy pictured on her spine that said Phoenix,  Arizona 1949?",Little Egypt,Gypsy Rose Lee,Sally Rand,Little Miss Firecracker,Little Egypt
What is the name of the dwelling place of the Norse gods?,Asgard,Olympia,Atlantis,Asgard,Valhalla
"In Norse mythology, what kind of animals are Odins two companions that kept him informed of various events?",ravens,eagles,wolves,ravens,bears
What is Bifrost in North mythology?,the rainbow bridge that leads to Asgard,the rainbow bridge that leads to Asgard,the serpent that kills Thor at Ragnarok,Odins great hall for fallen warriors,the wolf that kills Odin at Ragnarok
"The word Friday is derived from Frigg, the Norse goddess who was wife of Odin.",True,True,False,,
The main difference between Norse gods and gods of other cultures is that Norse gods are not immortal.,True,True,False,,
What does the Latin word spiro mean?,Breathe,"Ghost, soul",Set on fire,Alcohol,Breathe
What is the translation of the Latin saying Finis vitae sed non amoris?,The end of life is not the end of love.,The end of life is not the end of love.,There is no life without love.,There is life even after there is no more love.,There is no love at the end of life.
What does the Latin word bellum mean?,War,Chime,Stomach,War,Beauty
What is the meaning of the proverb Aquila non captat muscas?,The eagle doesnt capture flies.,The wolf doesnt capture mouses.,The eagle doesnt capture flies.,The eagle gathers no moss.,Mouses are hard to catch even for a strong man.
What does the word lupus mean?,Wolf,Monster,Eagle,Bear,Wolf
What does the Latin word felicitas mean?,Happiness,Happiness,Oral,Emotion,Cat
What is the translation of the saying Cui peccare licet peccat minus?,"One who is allowed to sin, sins less.",If you dont watch out you wont go far.,"One who is allowed to sin, sins less.","When one tries to harm others, he harms himself.","The less one knows, the better off they are."
What does the Latin word copia mean?,Abundance,Abundance,Copper,Spear,Replicate
What does the Latin word nemo mean?,Nobody,Nobody,Him,Man,Name
What does the Latin phrase Dum spiro spero mean?,"While I breathe, I hope.",This is the spirit of hope.,Hope comes when you take a breath.,"While I breathe, I hope.",I hope my soul will live on.
"According to the legends, how many dogs did Artemis take with her while hunting?",7,9,2,8,7
The palm tree was sacred for Artemis because it is connected with her and her twin brother Apollos birth.,True,False,True,,
According to legends why did Artemis transform the hunter Actaeon into a stag?,Because he spied her when she bathed and saw her naked.,Because he stole her bow.,Because he killed Artemis stag.,Because he refused to build her a temple.,Because he spied her when she bathed and saw her naked.
The Temple of Artemis is one of Worlds Seven Wonders. Where is it located?,Ephesus,Ephesus,Turkey,Sparta,Athens
What is the meaning of goddess Artemis title Elaphebolus?,Deer shooting,The virgin,Deer shooting,Queen of the beasts,The hunter
Was Aeginaea the name given to Artemis by her worshippers in Sparta?,Yes,Yes,No,,
Which one of these names was given to Artemis by her worshipers in Athens?,Agrotera,Apanchomene,Agrotera,Aetole,Aeginaea
What did the archaic term strumpet refer to?,A prostitute,A prostitute,An alcoholic beverage,A breed of dog now extinct,A musical instrument
What does the word sylvan mean as an adjective?,Of or pertaining to the woods,Civil in manner and speech,Sleek or glossy in appearance,That which has a silver color,Of or pertaining to the woods
What does the term wench refer to?,A young peasant girl,A medieval tool used for drilling holes in wood,A wrench used in medieval times,A slab or piece of wood used in constructing a house,A young peasant girl
What did the archaic term prithee mean?,An interjection used to express a polite request,An interjection used to express a polite request,A phallic symbol,A toilet,To predict something
Which of these words is an adverb meaning away?,avaunt,avaunt,hark,fie,avast
What did the name Albion refer to?,Great Britain,the planet Venus,Great Britain,Greenland,purgatory
What did the term phlogiston originally refer to?,None of these,A herb used to alleviate fevers by the ancient Greeks,An instrument of torture and interrogation used by the ancient Greeks,A type of wheel used on Roman chariots,None of these
What did the archaic adjective anile mean?,Of or like a senile old woman,Of or like a fox,None of these,Originating or from the Nile river,Of or like a senile old woman
What is the meaning of the archaic word betwixt?,Between,Rejected,Between,Dumbfounded or bewildered,Bewitched
The archaic term puissant meant weak or wimpy.,False,True,False,,
What is the missing word in the popular saying: All is fair in love and ...?,War,Politics,Care,Hatred,War
Finish the popular proverb: A good example is the best ....,Sermon,Advice,Teacher,Sermon,Favor
What is the missing word in the popular proverb Dogs of the same street ... alike?,Bark,Smell,Bark,Bite,Eat
What is the missing first word in the popular saying ... is the father of wisdom?,Experience,Experience,Pain,Time,Patience
"What is the missing part from the popular saying, ... are not made by sitting in the shade?",Gardens,Big castles,Great things,Gardens,Biggest victories
Finish the popular proverb: Necessity is the mother of ....,Invention,Hunger,Hard work,Robbery,Invention
"What is the meaning of the popular saying, One good turn deserves another?",Always return a favor.,If youve started something good its very hard to stop.,"If youve been lucky, try your luck once again.","If you enjoy something, dont stop doing it.",Always return a favor.
How does the popular saying end: Pride comes before ...?,A fall,You can feel it,Troubles,Wisdom,A fall
"What is the meaning of the popular proverb, Stolen fruit is the sweetest?",One craves things that are forbidden.,The best things in life are free.,Anything is good as long as its free.,One craves things that are forbidden.,One appreciates things they havent paid for.
"What is the missing part from the popular saying, ... often gives a small thing a big shadow?",Worry,Artificial light,Retelling a story,Worry,The sun
What popular proverb does this refer to: A disposition towards inquiry deprived the feline of its vital state?,Curiosity killed the cat,Dead men tell no tales,All cats are grey in the dark,Curiosity killed the cat,A cat has nine lives
What popular saying could this be: There is illumination at the termination of the subterranean excavation?,Theres a light at the end of the tunnel,Failure teaches success,It is always darkest before the dawn,Theres a light at the end of the tunnel,He who plays with fire gets burnt
What popular proverb is hidden behind these words: The stylus is more potent than the claymore?,The pen is mightier than the sword.,The pen is mightier than the sword.,Many hands make light work.,"Men make houses, women make homes.",Knowledge in youth is wisdom in age.
What proverb could this refer to: Elementary sartorial techniques initially applied obviate the need for repetitive similar actions to the square of three?,A stitch in time saves nine,A stitch in time saves nine,Look before you leap,Least said soonest mended,"Marry in haste, repent at leisure"
Which of these popular proverbs means the opposite of Silence is golden?,The squeaky wheel gets the grease,The squeaky wheel gets the grease,Loose lips sink ships,Walls have ears,"Saying is one thing, doing is another"
Which of these proverbs the reverse of  Wise men think alike?,Fools seldom differ,Fools seldom differ,An idle brain is the devils workshop,Birds of a feather flock together,There is a black sheep in every flock
What saying is the opposite of Good things come in small packages?,The bigger the better,The bigger the better,An empty purse frightens away friends,Half a loaf is better than none,All that glitters is not gold
"What is the missing word in the popular proverb, If you chase two ____  you will not catch either one?",Rabbits,Deers,Rabbits,Tigers,Colds
"How does the popular proverb end: When the cats away, the mice ___ ?",Play,Disobey,Play,Run astray,Get drunk
"What is the missing from the popular saying, One mans trash is another mans ...?",Treasure,Joy,Gulash,Monster Bash,Treasure
Which were the two authors of the 1955 Broadway play Inherit the Wind?,Jerome Lawrence and Robert E. Lee,Jerome Lawrence and Robert E. Lee,Jerome Robbins and Robert E. Lee,Jerome Lawrence and Oliver Grant,Jerome Robbins and Oliver Grant
Who wrote the screenplay for the 1960 Hollywood film Inherit the Wind?,Nathan E. Douglas and Harold Jacob Smith,Nedrick Young and Billy Rose,Nathan E. Douglas and Harold Jacob Smith,Jerome Robbins and Harry Selrig,Harold Baines and John R. Diefenbach
Where does the title of the play Inherit the Wind come from?,"The Bible, the Book of Proverbs","The Bible, the Book of Psalms","The Bible, the Book of Proverbs","The Bible, the Book of Job",Shakespeares The Tempest
The story in the 1955 Broadway play Inherit the Wind is a fictionalized version of what famous event in US history?,The 1925 Scopes trial,The 1945 Billy Mitchell trial,The 1915 Sacco and Vanzetti trial,The 1935 Roe vs Wade trial,The 1925 Scopes trial
Who played Henry Drummond in the 1960 movie Inherit the Wind?,Spencer Tracy,Harry Morgan,E.G. Marshall,Spencer Tracy,Gene Kelly
"In the real-life events on which the 1960 Broadway play Inherit the Wind was based, the defense lawyer was able to take the case pro bono because he made his money defending another client. Who was this rich client?",Al Capone,Billy Mitchell,Al Capone,Roscoe Fatty  Arbuckle,Charlie Chaplain
Who plays Mathew Harrison Brady in the 1960 movie Inherit the Wind?,Frederick March,Frederick March,Gene Kelly,Harry Morgan,Dick York
Who plays E.K. Hornbeck in the 1960 movie Inherit the Wind?,Gene Kelly,"Noah Beery, Jr.",Gene Kelly,Frederick March,Harry Morgan
Which actor portrays the defendant Benjamin T. Cates in the 1960 movie Inherit the Wind?,Dick York,"Noah Beery, Jr.",Dick York,Gene Kelly,Harry Morgan
Who produced and directed the movie Inherit the Wind?,Stanley Kramer,Cosmo Kramer,Stanley Kramer,Billy Budd,Billy Rose
Who did the color cinematography for the 1960 movie Inherit the Wind?,No one,Warren Hoffman,Jimmy Boyd Smith,John Tomlinson,No one
"The real-life defendant, whose story was featured in the 1960 movie Inherit the Wind, spent his whole life in Dayton, Tennessee.",False,False,True,,
Tony Randall appeared in the 1955 Broadway play Inherit the Wind.,True,False,True,,
Who starred as the defense lawyer in the premiere of the 1955 Broadway play Inherit the Wind?,Paul Muni,John Gleason,Paul Muni,Frderick March,Henry Fonda
"In the premiere of the 1955 Broadway play Inherit the Wind, who played the role of the prosecutor?",Ed Begley,Henry Fonda,Ed Begley,Jack Warden,John Cameron Swayze
The play Inherit the Wind was written almost five years before its opening. Why did it take so long to get the play produced?,Fear of the McCarthy HUAC hearings,The Great Depression hurt Broadway producers.,The public did not want a play about abortions.,The public did not want a play about Sacco and Vanzetti.,Fear of the McCarthy HUAC hearings
Which actor won a 1988 Emmy for his portrayal of the defense lawyer in one of the TV versions of the 1955 play Inherit the Wind?,"Jason Robards, Jr.",Kirk Douglas,"Jason Robards, Jr.",George C. Scott,Jack Lemmon
The word goblin is probably derived from a Latin word which means what?,Rogue,Ugly,Devil,Evil,Rogue
Goblins are considered to be a type of fairy folk.,True,True,False,,
It is believed that the goblin legend began in what European country?,France,Ireland,Germany,France,England
Which of these statements about goblins is NOT true according to legend?,Goblins love horse meat.,Goblins love to play pranks.,Goblins are almost an entirely male race.,Goblins steal women and children.,Goblins love horse meat.
It is a very old tradition to portray goblins green.,False,True,False,,
Goblin babies are known as changelings.,True,True,False,,
The Green Goblin is the arch enemy of which Marvel Superhero?,Spider-man,Captain America,Iron-man,The Hulk,Spider-man
What was Sigmund Freuds major at the University of Vienna?,Medicine,Law,Geography,Zoology,Medicine
What phobia did Sigmund Freud develop in his forties?,Fear of death,Fear of spiders,Fear of death,Fear of nightmares,Fear of heights
"What was the reason for the fallout between Sigmund Freud and Carl Jung, who was initially a supporter of Freud?",Freud found some of Jungs ideas unscientific.,All of these,They fought over a woman.,Jung poked fun at Freuds ideas about dreams.,Freud found some of Jungs ideas unscientific.
"Sigmund Freud, who was a heavy cigar smoker, developed this disease.",Oral cancer,Oral cancer,Lung cancer,Stroke,Heart attack
Sigmund Freud used this drug and prescribed it to his patients as an analgesic and antidepressant.,Cocaine,Cocaine,All of these,Marijuana,Heroine
Which of these historical figures was a patient of Sigmund Freud?,All of these,Emma Eckstein,All of these,Gustav Mahler,Princess Marie Bonaparte
What are the two contradictory desires that drive every human being according to Sigmund Freud?,Life and death,Love and hatred,Good and evil,Hunger and thirst,Life and death
What part of the human psyche contains the child-like drives and desires according to Sigmund Freud?,Id,Ego,Super-ego,All of these,Id
Which of these therapies did Sigmund Freud start using to resolve psychological problems?,Talk therapy,Talk therapy,Drawing therapy,Music therapy,Sleep therapy
"How did Sigmund Freud choose to die, with the assistance of his doctor and friend Max Schur?",By a lethal dose of morphine,By poisoning,By suffocation,By a lethal dose of morphine,By a gunshot
What name was used to refer to Leonardos famous painting before it was known as Mona Lisa?,A Certain Florentine Lady,A Lady from Florence,Madam Florentine,Madam Lisa,A Certain Florentine Lady
What was the Mona Lisa painting called when it was in the collection at the palace at Fontainebleau?,A courtesan in a gauze veil,Madam Lisa Gioconda,Wife of a wealthy Florentine,A courtesan in a gauze veil,The Mona Lisa
The Mona Lisa is not painted on a canvas.,True,False,True,,
Which of these is not among the theories about who is portrayed in the Mona Lisa painting?,The mistress of Leonardos close friend,The portrait is an idealization of all womanhood.,The portrait is an invention of Leonardos imagination,A young man in drag,The mistress of Leonardos close friend
Which of these artists is known to have become fascinated with the Mona Lisa painting?,Raphael,Michelangelo,Berrettini,Luciani,Raphael
Who gave the Mona Lisa painting its name?,Giorgio Vasari,Lisa Giocondo,King Francois I,Giorgio Vasari,Leonardo Da Vinci
"Which King hated the Mona Lisa painting so much, that he had it removed from his palace?",King Louis XV,King Louis XIV,Napoleon,King Francois I,King Louis XV
"When Mona Lisa was stolen in 1911, Picasso was among the suspects.",True,True,False,,
What sentence was Vincenzo Perugia given for stealing the Mona Lisa painting in 1911?,7 months,1 year,7 years,10 years,7 months
How long did it take Leonardo Da Vinci to finish the Mona Lisa painting?,4 years,1 year,6 months,3 years,4 years
What does the German word Bibliothek mean when translated into English?,Library,Library,Bookworm,Its not a real word.,Bible
What does the Spanish Word lechuga mean in English?,lettuce,lettuce,None of these,monster,milk
What does the Hebrew word ××× (za-hav) translate to in English?,gold,food,gold,None of these,money
What does the Danish word fÃ¸dselsdag mean in English? (foudgshlsdag),Your Birthday,February,Your house,Mothers Day,Your Birthday
What does the Czech phrase DobrÃ½ den mean in English?,Good Day/Hello,Good Day/Hello,Good Night,How Are You?,Valentines Day
What is the English equivalent of the Russian phrase ÐÐ¾Ð±ÑÐ¾ Ð¿Ð¾Ð¶Ð°Ð»Ð¾Ð²Ð°ÑÑ (Dobro poÅ¾alovat)?,Welcome,Goodbye,Welcome,Thank you,Sorry
What does the Greek word ÎÎ¿Î®Î¸ÎµÎ¹Î± (VoÃ­thia) mean in English?,Help,Goodbye,What?,Help,Fire
What does the Latin phrase Ave Maria mean in English?,Hail Mary,By the grace of god,Hail Mary,Mary Avenue,Mary Loves you
What does the Farsi phrase Ø´Ø¨ Ø¨Ø®ÙØ±  (shab bekheyr) mean in English?,Good night,Good Luck,Good night,Good Morning,Goodbye
What does the Hebrew phrase ×××ª×¨×××ª (le-hei-tra-ot) mean in English?,Goodbye,Come Hither,Walk far,That are just random letters.,Goodbye
