question,answer,A,B,C,D
"On September 8 or September 21, Eastern Orthodox Christians celebrate the birth of this important biblical figure to parents Joachim and Anna.",Virgin Mary,King Solomon,John the Baptist,Virgin Mary,King David
Which event is regarded as the greatest feast in the Christian calendar?,Resurrection of Jesus,Resurrection of Jesus,Ascension of Christ,Epiphany,Nativity of Christ
He is considered to be the first Jew  to set foot on land that would become part of the USA.,Joachim Gaunse,Asser Lev,Joachim Gaunse,Luis de Torres,Solomon Franco
In 1649 he was warned out of trying to settle in Boston.,Solomon Franco,Joachim Gaunse,Solomon Franco,Asser Lev,Luis de Torres
In 1656 the first Jewish cemetery in the USA was founded in this city.,"New  York City, NY","Philadelphia, PA","Newport , RI","New  York City, NY","Charleston, SC"
He is considered the first Jew on American land to get the right  to serve in a militia.,Asser Levy,Asser Lev,Solomon Franco,Myer Myers,Asser Levy
The British Plantation Act gave Jews the right to become naturalized citizens with rights to trade within the colonies. In what year was it enacted?,1740,1740,1763,1699,1749
This was the first colony to give Jews full political rights.,New York,Pennsylvania,Rhode Island,New York,South Carolina
This offered Jews full equality in all future US territories and states.,The Northwest Territory Act,The Northwest Territory Act,The Future Farm and Territory Act,The Stamp Act,The Homestead Act
He was the first Jew to serve in a state legislature.,Dr. Levi Myers,Jonas Phillips,Dr. Levi Myers,Myer Myers,Asser Levy
"This famous pirate, who was a marrano, played a significant role in American history.",Jean Lafitte,Jean Lafitte,Alexander Hamilton,Lafayette,John Jay
He was the first Jewish Commodore in the US Navy. He ended the practice of flogging which used to be an accepted form of punishment in the US Navy.,Uriah Phillip Levy,Uriah Phillip Levy,Abraham Moise Silver,Myer Myers,Asser Lev
"The Bnai Brit , a well known social welfare organization, was formed to help people who suffered in this American tragedy.",The great Chicago fire.,The sinking of the Chalmers,The Civil War,The San Francisco earthquake,The great Chicago fire.
"Morris Raphall, a Rabbi from New York City, was the first to open a session of Congress with a prayer. In what year did he do this?",1860,1843,1819,1860,1825
The  first Yiddish play was produced in New York in this year.,1882,1902,1894,1882,1897
He was the first American-born Rabbi to lead a Chassidic group.,Rabbi Levi Yitzach Halevi Horowitz,Rabbi Abba Hillel Silver,Rabbi Chaim Nathan Silver,Rabbi Jacob ben Yakov Halevy,Rabbi Levi Yitzach Halevi Horowitz
Which of the following may save sinners according to the King James version of the Bible?,personal relationship with God through His Son Jesus Christ,membership in a certain religion,personal relationship with God through His Son Jesus Christ,good works like almsgiving and fasting,baptism
What is the punishment for human sins as it is written according to the Bible?,second or spiritual death,excommunication from the religion,longer life,physical death,second or spiritual death
"At Nazareth, this Biblical figure grew and waxed in spirit. His name means the anointed one.",Jesus Christ,Isaac,Jesus Christ,Paul,Moses
"According to the Bible, Jesus turned water to wine in this wedding feast that He had attended in Cana. Which of His miracles was this?",first miracle,last miracle,second miracle,least miracle,first miracle
"According to the Bible, who should believers use as mediator between them and God when they pray?",Jesus Christ,Mary,Joseph,Jesus Christ,"John, the Baptist"
Which epistle states that there is one mediator between God and men?,Timothy,Ephesians,Philemon,Romans,Timothy
"According to the King James Version of the Bible, what did God command people to do always, day and night?",praying,rejoicing,drinking wine,sinning,praying
What three things does the religious concept of the Trimurti represent?,"Creator, Protector, and Destructor","Father, Grandfather, and Son","Heaven, Earth and Hell","Father, Mother, and Child","Creator, Protector, and Destructor"
Biology divides cellular life forms into three basic life domains. What are they?,"Archaea, Bacteria, and Eucaryota","Endoderm, Mesoderm, and Exoterm","Archaea, Glycosis, and Endoderm","Archaea, Bacteria, and Eucaryota","Archaea, Mesoder, and Exoterm"
Which one of these three basic chemical compounds can turn the blue litmus into red?,Acid,Salt,Base,None of them,Acid
St. Nicholas the Wonderworker is the patron saint of which of the following?,All of these,Merchants,All of these,Archers,Sailors
Where was the historical Saint Nicholas born?,Asia Minor,Asia Minor,Cartagena,His birthplace is unknown.,Rome
"Saint Nicholas was released from prison in 313, after this emperor issued the Edict of Milan, extending official tolerance to Christianity.",Constantine the Great,Octavian,Marcus Aurelius,Constantine the Great,Diocletian
The historical Saint Nocholas was a Greek Bishop of what ancient town?,Myra,Myra,Beit Jala,Patara,Paternopoli
"Nicknamed Black Angel, he was a prominent commander in the Chechen separatist movement against Russia.",Ruslan Gelayev,Magomed Khanbiyev,Ruslan Gelayev,Mukhtar Suleimanov,Abdulkhalik Kurbanov
His name means King of Kings and he ruled the Malian Empire for over twenty years.,Mansa Musa,Mansa Musa,Mustapha Kartali,Malcolm X,Margery Kempe
What statement is true about Saint Godric of Finchale?,Both of these,He was never formally canonized.,He was an English hermit.,None of these,Both of these
He was an African-American Muslim minister and an advocate for the rights of African Americans.,Malcolm X,Lamen Kebe,Malcolm X,Sali-Bul Ali,Abdul Rahman Ibrahim Sori
"James, one of the Twelve Apostles of Jesus, was known by which of these names?",All of these,All of these,"James, son of Alphaeus",James the Greater,James the Less
He was a Supreme Pontiff of the Roman Catholic Church and Sovereign of Vatican City from 1978 until his death in 2005.,Pope John Paul II,John Paul I,Pope John Paul II,Benedict XVI,Paul VI
This Spanish knight founded the Society of Jesus in 1534.,Ignatius of Loyola,Martin Luther,Ignatius of Loyola,Pope Paul V,John Calvin
He wrote the third Gospel and the Acts of the Apostles.,Luke the Evangelist,Luke the Evangelist,John the Evangelist,Matthew the Evangelist,Mark the Evangelist
He was a Christian saint from Egypt and a prominent leader among the Desert Fathers.,Anthony the Great,Saint Menas,Anthony the Great,Saint Varus,Saint Rais
"What statement is true about Ignatius Loyola, a Spanish knight from a Basque noble family?",All of these,He was the founder of the Jesuit Order.,He was canonized by Pope Gregory Ksaverity.,He was a religious leader during the Counter-Reformation.,All of these
"According to Christian tradition, this saint attached a silver hand to the icon of Theotokos, which has since then been known as Three-handed?",John of Damascus,Ignatius of Antioch,Cosmas of Maiuma,John of Damascus,Abraham the Writer
What is the earliest identified Christian house church?,Dura-Europos church,Dura-Europos church,Monastery of Saint Anthony,Megiddo church,Saint-Pierre-aux-Nonnains basilica
This Coptic Orthodox monastery is located in an oasis in the Eastern Desert of Egypt.,St. Anthony Monastery,St. George Monastery,St. Anthony Monastery,St. Bishoy Monastery,St. Mina Monastery
"Which statement is true about Saint-Pierre-aux-Nonnains basilica in Metz, France?",All of these,It was built in 380 AD.,It was originally built to be part of a Roman spa complex.,It is one of the oldest churches in Europe.,All of these
What is the oldest cathedral in Germany?,Cathedral of Trier,Hildesheim Cathedral,Cathedral of Trier,Regensburg Cathedral,Aachen Cathedral
"Which of these churches was designed by Isidore of Miletus and Anthemius of Tralles, who were professors of geometry at the University of Constantinople?",Hagia Sophia,Saint Catherineâs Monastery,None of these,The Church of Our Lady Mary of Zion,Hagia Sophia
"Which monastery lies at the foot of Mount Sinai, where, according to the Hebrew Bible, Moses received the Ten Commandments from God?",Saint Catherineâs Monastery,St. Anthony Monastery,St. Simeon Monastery,St. Paul Monastery,Saint Catherineâs Monastery
What church was built over the cave that tradition marks as the birthplace of Jesus of Nazareth?,"Church of the Nativity, Bethlehem","Church of the Nativity, Raleigh",All of these,"Church of the Nativity, Bethlehem","Church of the Nativity, Arbanassi"
What did Emanuel Swedenborg claim?,all of these,all of these,that the presence of the spiritual sense makes the Word Divine,that the Second Coming of Jesus Christ had occurred,that the Last Judgement had already occurred
What prominent Swedish author called Emanuel Swedenborg nothing but a fool?,Johan Henrik Kellgren,Carl Jung,August Strindberg,HonorÃ© de Balzac,Johan Henrik Kellgren
Which of these is a work by Emanuel Swedenborg?,All of these,Heaven and Hell,All of these,The Last Judgment,Arcana Coelestia
"What happened in April 1745, when Emanuel Swedenborg was having dinner in a private room at a London tavern.",All of these,Darkness fell upon his eyes.,He hurried home.,All of these,"He saw a man sitting in the corner, who told him: Do not eat too much!"
How many saints are recognized in Judaism ?,0,613,3,4,0
The first five books of the Old Testament are referred to as what?,The Torah,The Torah,The Sacred Writings of Abraham,The Code,The Bible
"In Judaism, who is considered to be the first Jew ?",Abraham,Abraham,Moses,Noah,Adam
Why is the city of Hebron so important to Judaism ?,"It is believed that Abraham, Sarah, Issac, Rebekkah, Leah and Jacob are buried there",It is where the first Capital of Israel stood,"It is believed that Abraham, Sarah, Issac, Rebekkah, Leah and Jacob are buried there",It was a stop on the way out of Egypt,It is where Jeremiah was born
"In the context of Judaism, who was Abrahams wife ?",Sarah,Leah,Rachel,Sarah,Rebekkah
How many laws are in the first five books of the Old Testament?,613,2150,1000,613,100
Why will Jews not eat pork?,Pigs do not chew their cud and they do not have cloven hoofs,Pigs are symbols of evil,Pigs cause disease if not properly cooked,Pigs do not chew their cud and they do not have cloven hoofs,Pigs are dirty
"In Judaism, what do we call food that is permissible to be eaten?",Kosher,Parve,Kosher,Fleisch,Gribnitz
"According to Judaism, what work is permissible on Sunday?",Any work,Only transportation to synagogue,Charity,None,Any work
What does the word Rabbi mean?,My teacher,My overseer,MY priest,My leader,My teacher
"The witch hunts started as a result of the superstitions of some Catholic Monks. This Dominican monk is considered to be the initiator of the witch hunts as he prepared a detailed manual of deviltry for the Church.  It did not take long before women in Southern France were sent to the stake, condemned for cohabitation with the devil.",Thomas Aquinas,Thomas Aquinas,John XXII,Gregory,Hugo de Boniols
The first woman accused of witchcraft was burned around 1275. This was the reason for her condemnation.,Having intercourse with the devil,Bringing misfortune,Participating in witch ring-dance rituals,Healing a child with magical water,Having intercourse with the devil
"Many of witchcraft confessions were extorted by means of torture, called ordeal. This method of torture was not used during the process of the ordeal.",The sound of trickling water,The Iron Maiden,The Thumbscrew,The sound of trickling water,Hot pincers
"Burning women who were supposedly witches was a common practice on the European continent. In England, however, they punished witches in this way.",Hanged them,Starved them to death,Hanged them,Buried them alive,Stabbed them with a silver lance
"Most of the victims of the witch hunts were women. However, there were some men also burned, accused of being witches. This is why.",They tried to protect women accused of witchcraft,They were more intelligent than other people,They collected herbs,They tried to protect women accused of witchcraft,They often went out for a walk during full moon
"As the witch hunts expanded, any woman could be tried as a witch, but in the beginning these were the most common victims of the Holy Inquisition.","Old, lonely women",Educated women,Beautiful young girls,"Old, lonely women",Women of middle age who gave birth to twins
"It was a common conception that the number of people involved in the witchcraft activities could be boundless. For example, in 1609 the witch hunting French official Pierre de Lancre stated that all 30,000 dwellers of the French region Labourd were witches, including  these people.",Priests,Physicians,Young girls,Priests,Teachers
"The famous Salem Witch trial started with an incident in January, 1692. A Caribbean-born slave was accused of initiating the witch phenomenon. Twenty more people were killed as no one of them confessed to being a witch. What was the reason that triggered the Salem witch craze?","Eight little girls from the town got ill with strange symptoms such as convulsions, incomprehensible speech, and trance-like states",Several babies in the town were born dead,There were innumerable storms over the town destroyed the crops,A severe drought made the local river dry up,"Eight little girls from the town got ill with strange symptoms such as convulsions, incomprehensible speech, and trance-like states"
"This was a common torture method used in Scotland, which made the accused witch confess her deeds. The method caused hallucinations and made it easy for the inquisitors to extort confessions to flying, turning into animals, meeting the devil and taking part in witchesâ Sabbaths.",Sleep deprivation,Whipping,The Iron Maiden,Sleep deprivation,Overheating
"Witch hunts still exist today. In 1981 a woman was killed by the mob, throwing stones at her as they believed she was a witch. This was the reason for stoning her to death.",Her sorcery incited the attack upon Pope John Paul II,Her sorcery incited the attack upon Pope John Paul II,Her spells were the reason for the ozone hole,Her magic killed the child of a neighbour,Her sorcery caused a tsunami in Mexico
Psalm 119 is the longest psalm in the Bible. How many verses does it contain?,176,176,150,200,138
"According to The Old Testament, the prophet Jonah was sent to which city to warn its inhabitants of the coming judgment on them?",Ninevah,Ninevah,Joppa,Ai,Tarshish
"According to the Book of Genesis, what did G-D  create last, on the sixth day, as almost an afterthought?",Adam,Eve,Adam,The fishes of the waters,The birds of prey
What was the name of Abrahams first wife?,Sarah,Sarah,Haggar,Haggai,Ruth
Who was Issacs wife according to Genesis?,Rebecca,Leah,Rebecca,Rachel,Ruth
"Judaism has three  Patriarchs -Abraham, Issac, and Jacob. Who are the four Matriarchs?","Sarah, Rebecca, Leah, Rachel","Sarah, Rebecca, Ruth, Naomi","Sarah , Rebecca , Rachel, Ruth","Sarah, Rebecca, Leah, Rachel","Sarah , Rebecca , Leah, Ruth"
Which of these is not one of Jacobs twelve sons?,Ephraim,Naphtali,Gad,Ephraim,Zebulon
What is the name of Jacobs only daughter according to Genesis?,Dina,Dina,Leah,Laban,Mileah
The  Book of Genesis contains the first Biblical reference to someone being put into prison. Who was  put into prison?,Joseph,Cain,Potiphar,Judah,Joseph
"Who was the third son of Adam and Eve, sometimes described as the quiet one?",Seth,Seth,Eli,Abel,Nahor
The Hebrew people lived in the first ghetto when they were in Egypt. Where was this place?,Goshen,Cannan,Barnes-Kaddesh,Nubia,Goshen
"According to the genealogy of Jesus, who was the father of Jesse?",Obed,David,Obed,Boaz,Samson
In which of the following lands did Job live when he was first mentioned in the book of Job?,Uz,Judea,Uz,Galilee,Nazareth
Who was king of Judaea during the birth of Jesus?,King Herod,King David,King Solomon,King Herod,King Darius
"According to the Bible, how old was Joseph when he was put in charge of the whole land of Egypt, as Pharaoh had ordered.",30 years old,40 years old,30 years old,22 years old,35 years old
"According to the Bible after Sarahs death, Abraham married another woman. What was her name?",Keturah,Keturah,Jessica,Naomi,Sheba
From what tribe of Israel was Samson according to the Bible?,Dan,Benjamin,Gad,Dan,Levi
This Biblical character is Jacobs father-in-law as well as father of Rachel and Leah.,Laban,Laban,Terah,Noah,Aram-balam
Which is the sixth book of the New Testament?,Romans,Mark,Romans,Galatians,Luke
"According to the Bible, when Naomi told her two daughters-in-law to leave her and go to their homes, which daughter-in-law decided to stay?",Ruth,Rebbecca,Judy,Beth,Ruth
Which of the following did Jesus call first to be his disciple?,Simon,Philip,James,Simon,Judas
What kind of person may you call Judas?,A friend who betrayed you,Someone who follows you,A thief,A friend who betrayed you,A person who committed suicide
Which of the following events can be referred to as an Armageddon?,The last and completely destructive battle,A battle between former allies,A death of a charismatic leader,The last gathering of a group of friends,The last and completely destructive battle
Which use of Goliath is correct?,The local grocery successfully competed against the nearby Goliath supermaket,Switzerland is the Goliath of international politics.,The FIFA 2006 World Cup final between France and Italy was like David against Goliath.,The local grocery successfully competed against the nearby Goliath supermaket,Fiesta is a real Goliath among Fords models.
How would you describe a Samaritan?,A person who helps people in need,A person who helps people in need,An enemy,A person who migrates to a foreign country,An egoist
Who is the salt of the earth?,"Decent, reliable people",People who spread gossips,"Decent, reliable people",People who do not keep their word,All Christians
Who can be best described as doubting Thomas?,Someone who believes only what he sees,Someone who believes only what he sees,Anyone who doesnt believe in God,A left-wing politician,"A scientist (especially in physics, mathematics, chemistry and biology)"
Which of the following can be described as a prodigal son?,A young man who wastes his parents money on parties,The youngest son in the family,A young man who wastes his parents money on parties,A son that is very obedient and does dutifully everything his parents tell him,The firstborn son
What does the sentence Ann was the apple of Marks eye tell us about the relation between those two?,Mark is deeply in love with Ann.,Mark hates Ann.,Mark is deeply in love with Ann.,Ann is deeply in love with Mark.,Ann hates Mark.
What characteristic is commonly attributed to King Solomon?,Wisdom,Wealth,Lust,Hunger,Wisdom
"What message am I conveying, if I say I dont know him from Adam?",The person is completely unknown to me.,I know very little about the person.,"In spite of the negative form, the idiom means that you know someone very well.",The person is completely unknown to me.,I dont know his true character.
What does the phrase of biblical proportions mean?,"of a vast, enormous scale","of a vast, enormous scale",of little importance,related to a flood,very sinful in its nature
"If John knows Mary in the biblical sense, what can we say about the pair?",They have had sex.,Mary is Johns sister.,They have had sex.,Their parents decided about their marriage.,"They are in a Platonic relationship (ie. love, but no sex)."
What Biblical character said the following?,Esther,Esther,Martha,Ruth,Deborah
The following words belong to this biblical figure:,Job,Jesus,John the Baptist,Abraham,Job
What Biblical hero delivered these words?,Samson,Samson,Solomon,David,Samuel
What Biblical character asked the following question? ,Jesus,Peter,Jude,Jesus,Paul
"What character from the Bible said the following? Get rid of that slave woman and her son, for that slave womans son will never share in the inheritance with my son Isaac.",Sarah,Ruth,Sarah,Leah,Rebeccah
"Who said the following: It is not the healthy who need a doctor, but the sick. But go and learn what this means: I desire mercy, not sacrifice. For I have not come to call the righteous, but sinners.",Jesus,John,Jesus,Joseph,Matthew
What Biblical figure said this? ,Issac,Jacob,Esau,Adam,Issac
"Name the Biblical character who delivered these words: Pick me up and throw me into the sea, and it will become calm, I know that is is my fault that this great storm has come upon you.",Jonah,Obadiah,Micah,Haggai,Jonah
What character from the Bible said this?,Martha,Queen Vashti,Martha,Mary,Queen Sheba
"Who delivered these words: Suppose I go to the Israelites and say to them, The God of your fathers has sent me to you, and they ask me, âWhat is his name? Then what shall I tell them?",Moses,Joseph,Jonah,Moses,Aaron
What is the symbol of the dhamma (dharma)?,wheel,flag,wheel,chair,flower
What Buddhist term refers to the cycle of reincarnation or rebirth?,Samsara,Dharma,Samsara,Naraka,Asura
What does the word buddha mean?,awake,light,the only one,god,awake
What is the path to happiness in Buddhism?,middle way,ancient path,path of freedom,path of love,middle way
According to Buddhism what are the3 evil roots/defilements that hide the truth from us?,"delusion, hatred, greed","hatred, greed, selfishness","delusion, confusion, anger","delusion, hatred, jealousy","delusion, hatred, greed"
In Buddhism which of these beings inhabit Hells?,Naraka beings,Brahmas,Preta,Naraka beings,Asuras
